a_mm,Rout_mm,r_neck_mm,zMin_mm,zMax_mm,r_max_mm,I_A,spacing_mm,n_events,N_out,eta_trans,eps_x,eps_y,epsn_x,epsn_y,beta_x,alpha_x,beta_y,alpha_y,sigma_x_mm,sigma_y_mm,sigma_xp,sigma_yp,sigma_theta_rms,eps_4D,eps_acc_x,eps_acc_y,gamma_rel,beta_rel,epsn_mean,particle_count,emittance,objective,transmission,focusing_strength,compression_ratio
0.0074981604753894,719.0609389379256,390.1428612819832,0.0,1312.037280884873,619.5981825434216,48719.34244034432,1210.358863119579,10000,463,0.0463,209.0393524169922,308.52593994140625,202.52723693847656,298.91455078125,259.48406982421875,-0.5525074005126953,161.7812957763672,-0.2760358452796936,232.8999481201172,223.4138031005859,1.025434494018555,1.432607889175415,1.2457691431045532,64494.0625,2.1667000282832305e-07,3.4752108035718265e-07,1.3923596143722534,0.695831298828125,250.72089385986328,463,250.72089385986328,-50.107138771972664,0.0463,16654.171107938084,1.588131538553502
0.0065579754426081,619.2489889519252,258.4289297070436,0.0,2570.351922786027,509.9085529881075,53960.85385900317,2077.045432985862,10000,160,0.016,114.86955261230467,167.23719787597656,113.97562408447266,165.9357452392578,269.5148620605469,-0.5408743023872375,196.0621795654297,-0.5511410236358643,175.95184326171875,181.0770263671875,0.7422221302986145,1.054551362991333,0.91185861825943,19210.462890625,1.5957206755956577e-07,2.1935409222351154e-07,1.4087215662002563,0.7043392658233643,139.95568466186523,160,139.95568466186523,-27.97833693237305,0.016,31839.621636837677,1.9731094098719617
0.0063539700082076,527.731231534285,239.19657248382904,0.0,1777.354579378964,413.5681866731614,62561.88381286751,2674.6012673886657,10000,93,0.0093,148.2735595703125,82.49736022949219,147.21771240234375,81.90990447998047,289.4620361328125,-0.728255033493042,246.03207397460935,-0.6207700371742249,207.17037963867188,142.467529296875,0.8853850960731506,0.6815610527992249,0.7900734543800354,12232.177734375,1.3947575894235342e-07,1.6409622105584276e-07,1.4091873168945312,0.7045756578445435,114.56380844116212,93,114.56380844116212,-22.905321688232423,0.0093,41163.254539257614,1.7289887659285788
0.0088529791488919,839.6770259681927,352.1570097233795,0.0,1987.5911927287816,568.3831592708489,92727.93952583928,1912.3279348812443,10000,250,0.025,130.93618774414062,110.4142837524414,142.96771240234375,120.5600814819336,237.7154235839844,-0.3424997925758362,327.5855712890625,-0.2428788095712661,176.42434692382812,190.1844482421875,0.7844897508621216,0.597442626953125,0.6972667574882507,14457.2255859375,3.297019475212437e-07,2.392511930793262e-07,1.4806149005889893,0.7374560832977295,131.76389694213867,250,131.76389694213867,-26.332779388427735,0.025,29743.004085151493,1.614004956815472
0.0092720590636899,657.523111804296,372.1461166512687,0.0,1834.822006297558,402.0856391593572,56652.93725648763,1327.7441979339974,10000,362,0.0362,123.55237579345705,121.31134033203124,120.7987823486328,118.60769653320312,326.0567321777344,-0.4306794703006744,329.5601806640625,-0.4985614418983459,200.71144104003903,199.94845581054688,0.6702347993850708,0.6779359579086304,0.674096405506134,14988.3046875,2.636690794588503e-07,2.6086610205311445e-07,1.3985432386398315,0.6990939974784851,119.70323944091795,362,119.70323944091795,-23.911687888183593,0.0362,16418.472523303866,1.080450987309762
0.0073504606856145,663.1534352203563,388.5819407825038,0.0,2406.0379177903556,496.96087960622657,73635.55228551528,2946.385957169826,10000,143,0.0143,77.68588256835938,82.8443832397461,71.11224365234375,75.83423614501953,374.9669799804687,-0.3268256187438965,382.1416320800781,-0.3692806959152221,170.674072265625,177.92776489257812,0.4788638651371002,0.4963395595550537,0.4876799881458282,6435.8388671875,1.4409074822197e-07,1.4138547044240113e-07,1.3557004928588867,0.6752094626426697,73.47323989868164,143,73.47323989868164,-14.683207979736329,0.0143,25780.44303323658,1.2789088412227174
0.0080107160929154,935.7861201766576,210.29575024999787,0.0,1479.1237813339449,483.5939392709834,47387.38465094677,2029.9602445273697,10000,129,0.0129,125.01197052001952,85.36759185791016,125.0742645263672,85.4101333618164,232.06983947753903,-0.4215406477451324,286.0587158203125,-1.0296745300292969,170.32765197753906,156.2694549560547,0.7964951395988464,0.7841095924377441,0.7903265953063965,10671.970703125,2.765183637620794e-07,2.243300798454584e-07,1.414565920829773,0.7072829008102417,105.2421989440918,129,105.2421989440918,-21.03811978881836,0.0129,28129.428171755764,2.299589690690805
0.0099426018164424,833.1337307301023,248.41105430230007,0.0,1475.2750879847993,601.6406642217636,117385.96183342316,1798.7879521665811,10000,163,0.0163,87.87014770507812,112.09610748291016,88.29667663574219,112.64022827148438,311.5881652832031,-0.0996976867318153,321.98699951171875,-0.2951828837394714,165.4669189453125,189.9828643798828,0.5336763262748718,0.6152015328407288,0.5758833885192871,9849.9013671875,3.1726278848509537e-07,3.0701650644004985e-07,1.4176501035690308,0.7088167071342468,100.46845245361328,163,100.46845245361328,-20.080650490722658,0.0163,47527.52486413379,2.421956083683805
0.0066974657160199,955.710992115714,338.1875476204932,0.0,1275.0418882919864,516.0206038901612,70927.96212603102,1315.5996903571192,10000,463,0.0463,132.354736328125,134.7711639404297,132.74856567382812,135.17218017578125,272.0713806152344,-0.6345237493515015,288.850830078125,-0.703506588935852,189.76284790039065,197.30372619628903,0.8260348439216614,0.8351622819900513,0.8306111097335815,17837.6015625,1.6486866627474228e-07,1.5529138863712433e-07,1.4163191318511963,0.7081564664840698,133.9603729248047,463,133.9603729248047,-26.75503458496094,0.0463,31314.780398515297,1.5258415264574683
0.0069674091636018,930.2926400143314,218.62055356117983,0.0,2266.202914546536,669.164727385998,70683.57492584408,1763.4981917640555,10000,95,0.0095,735.6126098632812,417.7406921386719,696.6446533203125,395.6115112304687,67.58197021484375,-0.3347277343273163,93.69718170166016,-0.2088232785463333,222.9667053222656,197.84115600585935,3.479123592376709,2.1570422649383545,2.8945751190185547,307295.3125,7.183097636698221e-07,5.181029791856417e-07,1.3772650957107544,0.6876137852668762,546.1280822753906,95,546.1280822753906,-109.21801645507811,0.0095,46404.08369933184,3.060850027528339
