Det,P_Type,x[mm],y[mm],z[mm],px[MeV/c],py[MeV/c],pz[MeV/c],E[GeV]
2,pi+,426.435,-49.2204,3927.35,-24.7498,14.9779,215.549,0.118845
2,pi+,171.191,255.23,3927.35,94.3,110.826,98.8801,0.0850001
2,pi+,73.0778,-182.112,3927.35,32.6079,-54.6761,328.508,0.22299
2,pi+,-182.213,-191.11,3927.35,-40.8275,-54.3462,289.587,0.189003
2,pi+,374.76,-212.014,3927.35,-190.375,123.535,204.965,0.196576
2,pi+,94.6348,-11.1567,3927.35,0.991407,33.7249,190.324,0.098844
2,pi+,-164.049,-322.488,3927.35,-85.7648,-124.629,93.8877,0.0866658
2,pi+,140.846,22.9427,3927.35,67.1755,-28.8622,387.291,0.278544
2,pi+,19.073,-83.2069,3927.35,-11.2495,-22.8412,119.361,0.0458354
2,pi+,31.8269,26.0023,3927.35,-223.312,-0.814949,185.898,0.182775
2,pi+,63.6008,-81.8563,3927.35,154.605,-148.138,179.225,0.172598
2,pi+,60.394,-242.678,3927.35,-233.745,53.798,161.206,0.181363
2,pi+,20.711,-76.9489,3927.35,-1.36925,-4.64938,181.688,0.0895887
2,pi+,-221.656,-9.00012,3927.35,-205.856,-0.916137,268.846,0.226674
2,pi+,154.027,37.4583,3927.35,298.218,92.638,230.046,0.272639
2,pi+,-278.569,395.186,3927.35,-130.861,231.802,176.497,0.208981
2,pi+,-4.13537,-213.041,3927.35,-2.89638,-78.4928,244.157,0.152426
2,pi+,98.8696,-215.493,3927.35,-138.511,223.793,94.1833,0.17287
2,pi+,128.391,27.3815,3927.35,21.3247,34.0668,243.838,0.144247
2,pi+,-188.573,145.198,3927.35,-162.444,3.55745,143.035,0.117994
2,pi+,-631.106,-110.209,3927.35,-3.71568,18.7141,197.419,0.102954
2,pi+,-32.8553,409.791,3927.35,-21.209,172.369,81.1603,0.0975538
2,pi+,25.538,-48.8665,3927.35,186.957,-189.871,259.422,0.25765
2,pi+,-88.8843,378.178,3927.35,-64.9049,247.845,106.028,0.170851
2,pi+,113.172,-154.123,3927.35,25.9496,-73.2343,133.758,0.0687743
2,pi+,-67.7699,-224.08,3927.35,-5.44273,-27.0191,363.517,0.250794
2,pi+,-184.848,-38.6071,3927.35,-18.0275,-5.89738,340.986,0.229362
2,pi+,99.9542,-441.556,3927.35,-115.451,-40.797,291.419,0.20597
2,pi+,2.9699,195.01,3927.35,-1.47282,-27.1629,248.19,0.146468
2,pi+,-177.633,13.2486,3927.35,-43.2703,-51.0974,328.854,0.223895
2,pi+,-65.2804,-64.4114,3927.35,195.302,97.1943,235.66,0.21058
2,pi+,-282.315,-148.764,3927.35,-111.318,-57.039,157.489,0.105231
2,pi+,14.6135,0.802008,3927.35,-46.0651,50.8887,361.392,0.25387
2,pi+,242.481,-46.5531,3927.35,4.45579,-23.6034,149.667,0.066481
2,pi+,26.1139,-125.551,3927.35,5.47699,32.2959,201.57,0.107782
2,pi+,178.296,-78.9392,3927.35,22.0136,-47.4207,256.467,0.157058
2,pi+,-86.3173,-540.665,3927.35,-38.6289,-0.306386,124.928,0.0516861
2,pi+,475.604,502.447,3927.35,238.026,215.963,210.113,0.268993
2,pi+,-172.166,-7.98788,3927.35,-10.2445,1.45407,203.146,0.107118
2,pi+,-33.6126,-337.728,3927.35,-5.16392,-17.0341,162.415,0.0753134
2,pi+,190.996,669.569,3927.35,126.205,147.573,220.424,0.185656
2,pi+,-102.93,-366.872,3927.35,3.31274,47.4756,164.316,0.0812109
2,pi+,136.416,225.232,3927.35,23.9177,81.3419,359.212,0.255021
2,pi+,19.0191,-612.44,3927.35,6.88513,14.8476,305.141,0.196374
2,pi+,29.6956,322.559,3927.35,4.49408,201.212,156.605,0.151138
2,pi+,150.53,-276.146,3927.35,69.9757,-153.735,229.101,0.177444
2,pi+,87.3961,34.0514,3927.35,175.4,103.739,194.458,0.174787
2,pi+,30.4076,-67.105,3927.35,-42.1403,9.2584,232.596,0.135098
2,pi+,128.38,72.6828,3927.35,-21.5603,2.18304,167.604,0.0796113
2,pi+,177.018,-106.731,3927.35,241.069,-121.674,261.062,0.261119
2,pi+,164.656,14.3551,3927.35,-9.12882,18.0481,155.464,0.0703298
2,pi+,345.757,72.1036,3927.35,127.895,26.9791,140.635,0.0977965
2,pi+,-179.361,341.606,3927.35,-24.2316,199.143,182.251,0.165291
2,pi+,17.6788,-64.9539,3927.35,51.494,-30.2243,326.868,0.220829
2,pi+,-149.776,32.6757,3927.35,-226.948,72.8947,239.076,0.225746
2,pi+,-287.093,-48.1311,3927.35,-22.0267,-4.22406,132.162,0.053949
2,pi+,120.002,106.188,3927.35,70.8529,50.9217,372.177,0.26738
2,pi+,113.504,91.5698,3927.35,33.795,2.73535,138.436,0.0599136
2,pi+,47.3555,-56.1519,3927.35,162.952,-184.604,218.788,0.218173
2,pi+,-280.696,14.8903,3927.35,-80.6836,15.3811,128.781,0.0673371
2,pi+,6.17312,-53.1596,3927.35,38.3346,25.2779,202.574,0.110679
2,pi+,228.162,207.905,3927.35,129.187,130.157,234.667,0.189335
2,pi+,46.8768,390.374,392
