Det,P_Type,x[mm],y[mm],z[mm],px[MeV/c],py[MeV/c],pz[MeV/c],E[GeV]
2,pi+,-221.302,32.88,3927.35,-132.945,21.9091,216.933,0.151453
2,pi+,183.094,-159.069,3927.35,191.411,-134.601,166.326,0.179647
2,pi+,147.716,246.616,3927.35,108.605,185.987,98.3739,0.135282
2,pi+,-10.7272,-247.455,3927.35,-12.7936,-176.725,94.8768,0.105127
2,pi+,213.599,62.1933,3927.35,134.657,217.515,256.495,0.24865
2,pi+,-49.0783,-56.3111,3927.35,-52.6181,4.73802,311.696,0.206009
2,pi+,14.7397,-139.542,3927.35,0.97972,-62.6993,330.412,0.22455
2,pi+,-29.1762,-45.7598,3927.35,35.1767,-219.614,220.893,0.203564
2,pi+,-140.993,21.705,3927.35,-231.672,61.7118,252.2,0.23535
2,pi+,87.725,53.6075,3927.35,51.4148,25.9598,338.744,0.2313
2,pi+,81.5242,492.605,3927.35,37.7876,265.273,101.88,0.179266
2,pi+,-81.4016,-163.752,3927.35,-25.1314,-72.758,372.639,0.265726
2,pi+,19.6315,30.4316,3927.35,44.9953,32.5922,298.561,0.194653
2,pi+,169.439,-115.724,3927.35,-19.4638,-3.99617,173.982,0.0843591
2,pi+,154.287,-166.177,3927.35,122.004,-0.681378,64.4303,0.0566857
2,pi+,-155.301,185.663,3927.35,-53.1248,62.7637,359.704,0.254928
2,pi+,91.4868,-29.8289,3927.35,219.734,-126.198,263.08,0.251454
2,pi+,-110.148,191.306,3927.35,-0.0099942,1.42015,258.393,0.154111
2,pi+,39.2506,-52.0655,3927.35,-35.4632,-29.0409,257.81,0.157157
2,pi+,340.62,118.595,3927.35,130.137,-2.80837,70.7716,0.0639783
2,pi+,113.436,222.881,3927.35,87.122,51.3523,113.57,0.0668398
2,pi+,-253.734,187.247,3927.35,-149.695,43.4788,154.59,0.120577
2,pi+,42.3573,358.255,3927.35,46.7266,206.445,224.219,0.198893
2,pi+,400.329,401.671,3927.35,-78.2185,-70.3361,113.123,0.0686168
2,pi+,136.925,18.5311,3927.35,70.7524,-6.73071,314.634,0.211892
2,pi+,-182.868,-113.818,3927.35,-198.759,136.999,284.272,0.258631
2,pi+,124.28,-67.1794,3927.35,-158.31,46.3727,351.839,0.273326
2,pi+,112.189,-115.311,3927.35,54.1595,-45.321,201.798,0.115752
2,pi+,57.4404,-3.06036,3927.35,74.7991,-107.651,239.109,0.166757
2,pi+,49.5557,-73.8582,3927.35,-13.1837,79.0342,169.691,0.0942995
2,pi+,197.635,269.412,3927.35,69.7736,86.8047,123.66,0.0776278
2,pi+,-1.18079,-5.62018,3927.35,-126.091,-6.82336,175.18,0.117555
2,pi+,-415.92,301.164,3927.35,-143.822,101.208,152.508,0.131844
2,pi+,-634.069,-161.854,3927.35,-17.5524,42.037,243.233,0.144538
2,pi+,33.5875,5.70005,3927.35,260.313,-35.4683,253.672,0.251391
2,pi+,96.7129,434.816,3927.35,70.1467,275.883,120.828,0.19971
2,pi+,9.96799,181.14,3927.35,26.5483,204.404,265.489,0.224367
2,pi+,403.171,-259.275,3927.35,280.948,-168.228,190.115,0.263984
2,pi+,-4.89361,14.5229,3927.35,3.46761,248.522,289.84,0.266955
2,pi+,226.83,161.871,3927.35,63.6046,47.716,216.833,0.130279
2,pi+,108.846,-200.73,3927.35,113.312,-210.01,153.979,0.176866
2,pi+,79.9352,268.72,3927.35,54.2984,137.318,132.789,0.103159
2,pi+,138.64,-171.366,3927.35,163.016,-200.931,155.488,0.193001
2,pi+,-117.877,-107.784,3927.35,-37.383,40.5629,312.719,0.207295
2,pi+,-337.713,-8.72489,3927.35,-31.9832,-22.6279,146.832,0.0667652
2,pi+,11.622,-146.864,3927.35,18.324,-38.6156,218.71,0.123376
2,pi+,223.074,-414.509,3927.35,2.775,-4.10146,254.136,0.150411
2,pi+,197.489,47.0105,3927.35,160.349,29.9086,222.078,0.169306
2,pi+,25.8686,-157.889,3927.35,7.16525,-155.141,161.111,0.124166
2,pi+,53.2785,-15.1537,3927.35,187.53,-92.9942,191.926,0.176865
2,pi+,-120.352,114.629,3927.35,-75.3513,239.413,130.412,0.175839
2,pi+,-69.7834,13.9702,3927.35,1.39935,-114.728,151.735,0.0963697
2,pi+,46.0381,24.7097,3927.35,9.17979,-28.6983,218.877,0.121763
2,pi+,-106.763,130.51,3927.35,-45.8867,-18.3785,255.861,0.156044
2,pi+,111.98,25.5364,3927.35,237.097,-37.6381,199.308,0.202242
2,pi+,-6.38962,-260.173,3927.35,-23.7703,-119.633,285.1,0.200487
2,pi+,-36.4,66.6795,3927.35,46.9439,29.8072,341.074,0.233127
2,pi+,111.711,188.897,3927.35,4.23912,11.9797,216.309,0.118172
2,pi+,-63.5071,-413.933,3927.35,21.7673,24.4814,137.068,0.0587745
2,pi+,-267.127,-151.98,3927.35,-105.632,-59.2604,166.109,0.108909
2,pi+,-195.077,-67.402,3927.35,15.8775,44.8207,363.407,0.25261
2,pi+,661.214,88.7388,3927.35,-18.135,5.39857,150.727,0.066721
2,pi+,177.027,239.624,3927.35,77.2389,95.0423,293.993,0.
