Det,P_Type,x[mm],y[mm],z[mm],px[MeV/c],py[MeV/c],pz[MeV/c],E[GeV]
2,pi+,-31.4445,-141.55,4129.2,-70.4201,-43.1386,386.953,0.27999
2,pi+,32.8572,-58.7228,4129.2,-38.0214,-23.6931,305.57,0.199339
2,pi+,127.009,-87.9059,4129.2,30.7258,-41.4163,223.985,0.129332
2,pi+,7.44363,-172.654,4129.2,-6.75395,45.4237,381.335,0.269092
2,pi+,43.0275,9.50754,4129.2,-24.7567,6.54875,210.281,0.11411
2,pi+,-496.532,-166.488,4129.2,-95.1566,-32.6835,59.5843,0.0425093
2,pi+,-160.308,-121.749,4129.2,18.4328,-7.1213,104.484,0.0358929
2,pi+,336.25,-33.0932,4129.2,78.1246,5.75409,189.11,0.108177
2,pi+,40.1983,108.714,4129.2,2.50885,11.8643,313.763,0.204049
2,pi+,24.5932,-163.11,4129.2,-78.4015,-147.649,149.662,0.124675
2,pi+,-74.3253,-352.538,4129.2,18.6285,257.17,192.937,0.211411
2,pi+,100.278,133.175,4129.2,7.0352,12.977,317.554,0.207616
2,pi+,181.334,142.481,4129.2,-228.445,-146.828,189.865,0.219977
2,pi+,-139.744,109.362,4129.2,43.3646,48.2508,115.128,0.0526354
2,pi+,179.292,-293.382,4129.2,-138.348,181.494,149.543,0.166899
2,pi+,-124.404,111.174,4129.2,22.5233,11.9446,131.595,0.0539418
2,pi+,94.2127,-132.103,4129.2,8.11036,26.2711,222.881,0.124838
2,pi+,-33.7457,-22.6804,4129.2,232.122,-50.9469,158.33,0.178274
2,pi+,91.5186,150.932,4129.2,8.01761,13.3648,380.634,0.266145
2,pi+,-309.184,-89.3174,4129.2,-122.753,67.9686,74.9544,0.072056
2,pi+,-74.2339,16.6202,4129.2,53.2231,66.3887,301.453,0.203349
2,pi+,77.1817,167.86,4129.2,60.351,177.569,269.601,0.217273
2,pi+,-541.884,-15.8454,4129.2,101.497,7.38327,25.0062,0.0349593
2,pi+,42.3853,-25.1619,4129.2,-157.259,183.699,187.989,0.197023
2,pi+,-191.393,58.3611,4129.2,225.674,-34.5707,225.651,0.210461
2,pi+,-166.849,-398.456,4130.2,-112.897,-209.046,-154.503,0.176337
2,pi+,23.2186,-167.4,4129.2,21.5091,35.854,337.371,0.227917
2,pi+,-143.639,-73.8292,4129.2,-58.003,-1.84236,210.309,0.119423
2,pi+,96.5413,45.2537,4129.2,73.1741,17.9053,381.955,0.274005
2,pi+,50.7464,-22.0448,4129.2,-40.8009,45.0763,319.43,0.214282
2,pi+,146.975,319.562,4129.2,30.2027,51.1738,377.509,0.267276
2,pi+,16.8299,11.6943,4129.2,12.7886,25.9393,178.462,0.0888262
2,pi+,54.0166,124.389,4129.2,31.2365,55.9836,323.282,0.218342
2,pi+,-35.8974,285.292,4129.2,-6.50274,55.0874,149.961,0.0726676
2,pi+,171.323,49.6863,4129.2,99.4431,27.8695,340.28,0.242446
2,pi+,507.801,456.443,4129.2,-161.595,-172.238,277.298,0.250497
2,pi+,15.8985,-4.91531,4129.2,-214.754,186.671,195.813,0.232973
2,pi+,-42.54,54.894,4129.2,-7.77014,60.5346,331.716,0.22545
