Det,P_Type,x[mm],y[mm],z[mm],px[MeV/c],py[MeV/c],pz[MeV/c],E[GeV]
2,pi+,365.691,86.4841,4129.2,51.917,4.22571,172.304,0.0882053
2,pi+,-112.823,-600.301,4130.2,-96.5531,300.357,-32.2891,0.206924
2,pi+,77.1075,281.851,4129.2,77.7189,230.25,278.763,0.255707
2,pi+,275.591,-189.614,4129.2,-187.479,97.5638,108.385,0.135919
2,pi+,24.7206,153.459,4129.2,-36.6017,36.2137,279.903,0.17741
2,pi+,-146.16,115.351,4129.2,-171.317,151.236,259.269,0.233152
2,pi+,-19.8568,-74.4961,4129.2,-10.0219,-66.284,331.88,0.226652
2,pi+,-83.2954,223.246,4129.2,-60.422,104.612,38.5296,0.0489978
2,pi+,560.41,-206.671,4129.2,233.268,-82.2208,239.305,0.231807
2,pi+,-36.1894,-4.40962,4129.2,-236.704,-70.1857,156.387,0.184298
2,pi+,183.087,96.0081,4129.2,11.4308,8.13539,218.733,0.120277
2,pi+,-311.343,367.332,4129.2,-155.743,183.88,80.4902,0.150302
2,pi+,91.817,-105.43,4129.2,47.1347,20.0059,375.37,0.264167
2,pi+,-375.117,-358.779,4129.2,43.8779,93.0128,193.43,0.120183
2,pi+,90.8981,-52.0836,4129.2,4.75054,-43.5552,279.972,0.176315
2,pi+,-133.858,113.399,4129.2,-47.4158,40.795,349.442,0.241878
2,pi+,-130.12,-91.9503,4129.2,130.422,38.9526,169.123,0.118518
2,pi+,122.865,173.963,4129.2,10.9313,14.5445,348.471,0.236253
2,pi+,436.799,288.766,4129.2,190.263,-60.7157,233.564,0.197948
2,pi+,243.304,-51.2999,4129.2,90.3371,-49.0431,312.448,0.217739
2,pi+,-176.55,-197.48,4129.2,202.831,260.525,133.95,0.243099
2,pi+,-133.957,-9.40712,4129.2,49.5871,-14.0536,368.478,0.257811
2,pi+,-263.734,-304.492,4129.2,-212.269,-233.462,96.6807,0.218745
2,pi+,-681.778,93.8107,4129.2,43.2606,-147.328,321.776,0.243309
2,pi+,142.668,34.4314,4129.2,50.6514,14.3753,394.208,0.281918
2,pi+,33.0983,182.515,4129.2,-3.42918,76.7022,364.397,0.258123
2,pi+,170.369,-89.1183,4129.2,170.891,-87.4836,86.9915,0.113223
2,pi+,-10.3641,-58.1369,4129.2,-50.9811,-1.12015,323.081,0.216044
2,pi+,-203.138,-244.239,4129.2,-110.847,-124.083,177.824,0.141116
2,pi+,108.369,-264.442,4129.2,58.4858,-24.0957,135.272,0.0648303
2,pi+,-187.599,-36.4255,4129.2,-272.839,-4.18772,124.749,0.191339
2,pi+,-85.3442,14.4716,4129.2,204.688,23.6738,190.217,0.17367
2,pi+,-70.4091,-128.037,4129.2,13.6678,-93.8253,190.921,0.115225
2,pi+,198.708,57.0038,4129.2,72.5682,18.3066,329.512,0.226024
2,pi+,-345.667,-75.89,4129.2,-290.097,-50.4323,235.821,0.262662
2,pi+,-24.4392,246.03,4129.2,-29.7123,68.8133,218.209,0.130084
2,pi+,-16.2535,-243.669,4129.2,-2.46303,-267.751,114.155,0.183242
2,pi+,-198.453,-38.1028,4129.2,-118.767,-7.73648,358.806,0.263402
2,pi+,6.52061,-65.7505,4129.2,-68.633,-33.8094,378.658,0.271179
2,pi+,-92.4305,73.287,4129.2,-5.77017,6.93343,385.682,0.270688
2,pi+,78.1614,170.787,4129.2,-23.1879,-14.8156,206.883,0.111503
2,pi+,-200.709,-120.582,4129.2,-39.2571,-50.085,292.151,0.190402
