Det,P_Type,x[mm],y[mm],z[mm],px[MeV/c],py[MeV/c],pz[MeV/c],E[GeV]
2,pi+,128.77,49.0141,4129.2,8.74344,18.1244,124.624,0.0486206
2,pi+,18.08,-270.429,4129.2,-5.03965,-220.805,265.98,0.233265
2,pi+,198.449,-296.084,4130.2,-50.491,70.9867,-271.424,0.177824
2,pi+,131.578,-90.6429,4129.2,195.563,-125.761,277.799,0.248647
2,pi+,-16.1672,23.945,4129.2,-66.832,-3.668,380.44,0.271154
2,pi+,-35.1743,191.567,4129.2,-14.583,-11.028,233.842,0.133369
2,pi+,443.37,120.125,4129.2,-11.5314,-2.50271,392.532,0.277204
2,pi+,152.663,-78.4339,4129.2,9.09915,-5.43493,213.032,0.115331
2,pi+,248.017,192.693,4129.2,188.185,133.675,84.3028,0.143041
2,pi+,352.751,71.8566,4129.2,306.375,107.899,218.613,0.276097
2,pi+,-212.317,73.0589,4129.2,-67.3108,30.6515,325.22,0.221979
2,pi+,170.847,9.61628,4129.2,-24.2494,19.5604,379.461,0.265943
2,pi+,0.777897,-52.6642,4129.2,-62.2057,25.2758,356.208,0.248852
2,pi+,-484.643,59.172,4129.2,-20.7848,-40.7525,396.565,0.28332
2,pi+,12.7039,-224.445,4129.2,13.6016,-21.5767,161.296,0.0752475
2,pi+,234.833,66.3219,4129.2,110.797,1.05387,317.863,0.224838
2,pi+,212.763,88.8409,4129.2,290.123,187.097,169.657,0.269624
2,pi+,243.187,178.159,4129.2,-45.9266,12.6459,281.699,0.178397
2,pi+,164.205,35.5881,4129.2,144.748,-142.343,267.566,0.224139
2,pi+,288.816,-60.1718,4130.2,-250.6,-102.602,-32.0581,0.166753
2,pi+,-51.8547,36.22,4129.2,-50.0907,32.9044,301.158,0.197724
2,pi+,159.069,132.084,4129.2,-56.1664,10.0574,360.32,0.251027
2,pi+,201.041,-123.614,4129.2,59.4793,-65.7644,304.856,0.207243
2,pi+,4.67823,19.9438,4129.2,-50.8307,-0.32558,345.113,0.236152
2,pi+,-184.514,112.412,4129.2,-90.8037,-34.2846,364.233,0.262383
2,pi+,-22.5687,-60.6574,4129.2,35.4471,12.7854,254.654,0.153258
2,pi+,103.507,-182.441,4129.2,8.80663,-11.6279,229.975,0.129839
2,pi+,39.7275,131.52,4129.2,-34.2806,-22.607,203.565,0.110639
2,pi+,45.7684,95.9355,4129.2,33.4611,-21.8054,237.129,0.138467
2,pi+,129.234,-33.968,4129.2,43.6228,30.4591,331.748,0.224253
2,pi+,-192.781,-92.9467,4129.2,-10.3235,-7.04453,141.133,0.059313
2,pi+,-3.93382,-32.594,4129.2,-66.6887,-163.683,149.34,0.130655
2,pi+,60.218,-601.284,4129.2,-4.30251,-138.52,190.569,0.134295
2,pi+,-25.0722,-28.7035,4129.2,-221.4,-124.321,271.961,0.257816
2,pi+,-6.79558,-37.5746,4129.2,-54.8479,20.5725,376.769,0.266467
2,pi+,515.924,-52.6433,4130.2,64.2002,366.885,-62.7957,0.263105
2,pi+,223.203,638.649,4130.2,-36.0104,148.229,-136.246,0.108041
2,pi+,85.2255,18.824,4129.2,10.3687,6.4109,360.859,0.247531
2,pi+,-43.5808,17.7664,4129.2,16.101,50.8525,297.151,0.193031
2,pi+,-80.6407,-37.0127,4129.2,-5.51195,-3.21441,230.115,0.129639
2,pi+,154.314,-230,4129.2,108.1,-162.35,230.29,0.19293
2,pi+,-40.8009,39.3037,4129.2,-52.7171,51.8731,377.659,0.26979
2,pi+,-120.902,146.359,4129.2,-78.4242,1.92498,284.333,0.186742
2,pi+,-138.998,-11.5862,4129.2,-7.07282,-56.6741,343.9,0.235942
2,pi+,86.2767,-127.148,4129.2,110.407,-158.922,214.932,0.181555
2,pi+,434.643,121.831,4129.2,282.917,74.4282,177.48,0.22997
2,pi+,-97.9061,144.291,4129.2,22.3045,-34.634,330.581,0.221623
2,pi+,-65.3243,-135.929,4129.2,26.5329,44.3323,346.02,0.237098
2,pi+,30.7429,164.216,4129.2,-5.59904,16.2341,250.469,0.147675
2,pi+,86.9227,-15.3027,4129.2,30.707,-9.97039,186.453,0.0955611
2,pi+,128.543,-21.7754,4129.2,-193.988,18.9625,205.937,0.176469
2,pi+,89.5952,-158.522,4129.2,-31.7827,-12.7008,243.662,0.143312
