Det,P_Type,x[mm],y[mm],z[mm],px[MeV/c],py[MeV/c],pz[MeV/c],E[GeV]
2,pi+,-175.339,-216.148,4129.2,-242.339,-234.843,152.216,0.256067
2,pi+,-15.4445,-7.48104,4129.2,161.418,-199.073,256.08,0.248686
2,pi+,-206.329,-25.8924,4129.2,-58.7739,-20.6465,193.297,0.106852
2,pi+,-186.911,120.752,4129.2,-157.176,115.812,237.107,0.197796
2,pi+,439.701,-46.5227,4129.2,-63.2134,4.26494,383.738,0.273647
2,pi+,131.97,-308.223,4129.2,11.2763,-52.5761,167.196,0.0847637
2,pi+,34.1943,-79.9337,4129.2,-40.6536,104.862,272.943,0.186967
2,pi+,141.96,-134.196,4129.2,12.4295,-8.04124,359.708,0.246549
2,pi+,37.9911,-99.4937,4129.2,-0.280604,-4.32731,181.394,0.0893449
2,pi+,201.41,-45.0704,4129.2,52.2154,-32.5888,266.552,0.167542
2,pi+,-2.773,-96.9451,4129.2,-12.2391,-38.5817,178.333,0.0904746
2,pi+,53.8685,-144.993,4129.2,-10.3813,29.1122,262.71,0.159514
2,pi+,53.2522,206.917,4129.2,81.0321,14.0393,358.28,0.253632
2,pi+,175.538,21.5594,4129.2,85.0193,79.544,284.25,0.197821
2,pi+,119.509,-138.5,4129.2,8.17947,-7.90333,232.038,0.131448
2,pi+,38.7765,26.9661,4129.2,71.5107,19.7389,344.411,0.239378
2,pi+,56.3653,90.0988,4129.2,4.74654,6.94958,380.377,0.265692
2,pi+,-128.812,25.3378,4129.2,206.815,210.002,158.136,0.222866
2,pi+,5.81793,-52.2981,4129.2,85.4221,325.421,134.031,0.248553
2,pi+,199.978,658.138,4129.2,84.7952,310.248,235.143,0.282586
2,pi+,10.9365,24.7132,4129.2,4.3406,-140.257,85.116,0.0758716
2,pi+,61.798,190.043,4129.2,19.4726,66.311,172.96,0.0931771
2,pi+,153.573,-8.22138,4129.2,-30.6851,8.52121,295.532,0.188809
2,pi+,225.759,23.4996,4129.2,65.372,-29.9132,272.937,0.175299
2,pi+,-397.009,208.285,4130.2,28.4306,304.175,-214.643,0.25903
2,pi+,-81.8009,122.766,4129.2,-1.91222,-37.9388,304.612,0.197641
2,pi+,178.801,21.4883,4129.2,-80.3889,36.7147,214.825,0.131427
2,pi+,-95.4022,-122.89,4129.2,-55.4002,-13.1001,324.669,0.218383
2,pi+,210.182,-81.3327,4129.2,-131.011,50.2704,118.431,0.0910734
2,pi+,192.109,-23.1478,4129.2,12.184,15.3141,333.617,0.222594
2,pi+,23.4563,-0.287857,4129.2,-181.953,-49.0322,250.435,0.203516
2,pi+,-31.329,-19.9992,4129.2,17.5521,58.5417,338.389,0.231539
2,pi+,-129.855,116.621,4129.2,18.3866,-21.7579,219.502,0.122102
2,pi+,79.7303,434.732,4129.2,66.5154,278.391,106.876,0.196328
2,pi+,-6.2748,125.766,4129.2,-16.5109,-11.6345,280.638,0.174509
2,pi+,-175.989,123.271,4129.2,-27.2762,32.6852,230.722,0.133422
2,pi+,-423.257,374.874,4129.2,138.962,-120.721,249.475,0.200432
2,pi+,8.67285,-62.5913,4129.2,-22.2092,188.271,234.802,0.192921
2,pi+,-100.942,-150.14,4129.2,217.184,207.327,202.916,0.24877
2,pi+,-69.3702,180.567,4129.2,-147.643,266.758,112.984,0.214271
2,pi+,-205.706,29.2972,4129.2,-5.82581,39.8652,261.246,0.159349
2,pi+,-67.3269,27.1396,4129.2,-337.582,-51.0988,195.514,0.277896
2,pi+,-133.411,357.79,4129.2,-61.954,177.658,63.1281,0.103052
2,pi+,6.23744,133.741,4129.2,15.3673,-28.6117,307.87,0.200016
2,pi+,-157.793,366.885,4129.2,13.6565,-44.605,302.433,0.196765
2,pi+,124.22,138.3,4129.2,23.1959,29.4393,158.404,0.0748508
2,pi+,75.5486,-32.2571,4129.2,56.0296,2.72947,299.734,0.195791
2,pi+,186.793,-170.813,4129.2,32.216,-5.65478,248.289,0.14713
2,pi+,-111.144,-20.6149,4129.2,37.1003,-14.6029,205.548,0.112064
2,pi+,-1.10546,54.8085,4129.2,62.8336,182.097,129.369,0.131213
2,pi+,667.326,206.447,4130.2,-261.004,-208.37,-161.947,0.256974
2,pi+,166.324,-19.7802,4129.2,-18.1446,23.1579,195.944,0.102792
2,pi+,-66.1832,-27.7482,4129.2,147.041,83.5501,64.2855,0.0889325
2,pi+,-148.738,110.494,4129.2,-12.545,-35.5165,250.482,0.149635
2,pi+,-104.184,658.078,4129.2,-15.8318,106.805,158.974,0.0979386
2,pi+,-291.606,191.333,4129.2,-74.8875,-17.4042,142.986,0.0745227
2,pi+,0.0323609,47.5014,4129.2,13.172,-17.4613,187.162,0.094925
2,pi+,11.8238,62.5435,4129.2,63.8223,45.0135,392.289,0.284068
2,pi+,-113.847,95.7444,4129.2,17.6576,-24.8355,365.804,0.253139
2,pi+,174.353,66.1854,4129.2,-35.6102,27.2859,388.136,0.27533
2,pi+,-70.2348,-139.816,4129.2,45.576,-23.3918,306.481,0.201068
2,pi+,-102.795,-37.7836,4129.2,-70.2689,25.5842,391.376,0.282623
2,pi+,85.8854,-148.787,4129.2,63.9805,-60.462,368.263,0.263973
2,pi+,-12.6104,125.116,4129.2,-11.0506,76.5397,279.332,0.182123
2,pi+,150.076,228.57,4129.2,134.66,190.28,93.9557,0.147911
2,pi+,-135.482,182.456,4129.2,-9.68773,10.3399,149.344,0.0653297
2,pi+,40.3304,374.769,4129.2,-0.0903494,134.076,124.782,0.0907053
2,pi+,671.153,56.721,4129.2,135.56,-1.67767,315.649,0.231231
2,pi+,15.7952,-77.2976,4129.2,-54.607,32.6547,364.12,0.25554
2,pi+,20.2782,46.1767,4129.2,55.3661,182.14,106.313,0.119317
2,pi+,110.866,-66.6642,4129.2,13.1574,-6.77121,395.153,0.279768
2,pi+,-113.68,164.95,4129.2,-44.4998,86.6014,338.731,0.239505
2,pi+,-116.829,-149.818,4129.2,-53.5253,-41.8989,319.218,0.215395
2,pi+,39.8782,-72.6696,4129.2,-15.952,53.8119,308.375,0.20354
2,pi+,-22.342,-143.235,4129.2,34.3783,-41.1657,287.027,0.184066
2,pi+,116.694,9.31086,4129.2,47.0442,34.2688,296.083,0.192894
2,pi+,-83.1904,3.33456,4129.2,-6.35035,-58.9762,384.298,0.273568
2,pi+,231.734,-25.1229,4129.2,34.1709,-46.7839,277.235,0.176176
2,pi+,-57.9258,128.572,4129.2,-53.5302,6.21414,367.682,0.257385
2,pi+,-258.001,338.989,4129.2,-177.304,231.11,143.679,0.213943
2,pi+,107.823,-114.926,4129.2,49.2088,17.4205,346.88,0.237962
2,pi+,-73.6325,172.728,4129.2,1.29182,-8.01448,121.498,0.0456521
2,pi+,108.875,73.9978,4129.2,-25.8965,49.5627,372.849,0.262453
2,pi+,201.074,-64.5579,4129.2,29.6291,28.9224,246.409,0.146632
2,pi+,139.665,106.517,4129.2,70.9426,36.0493,334.095,0.231147
2,pi+,3.71211,-34.8827,4129.2,-38.1296,33.3658,332.496,0.224573
2,pi+,55.4918,-34.4311,4129.2,88.5458,-45.4016,277.363,0.186485
2,pi+,-181.97,-184.081,4129.2,17.8523,-6.50288,255.905,0.15254
2,pi+,-77.8027,-74.0865,4129.2,55.5464,-39.7989,355.157,0.248097
2,pi+,-43.9594,-41.5267,4129.2,-154.95,-213.21,161.5,0.19959
2,pi+,-15.2696,-122.4,4129.2,7.11409,-56.2832,298.396,0.194703
2,pi+,45.9735,222.12,4129.2,-13.3524,-35.3791,290.61,0.185028
2,pi+,21.5309,-208.694,4129.2,19.2236,-59.7767,316.505,0.211995
2,pi+,-38.569,-125.552,4129.2,-106.979,-316.128,188.729,0.268449
2,pi+,-31.3029,-150.313,4129.2,-18.279,-43.0258,277.369,0.174434
2,pi+,-84.3253,45.8402,4130.2,53.5482,67.9798,-109.794,0.0579714
