Det,P_Type,x[mm],y[mm],z[mm],px[MeV/c],py[MeV/c],pz[MeV/c],E[GeV]
2,pi+,30.1012,137.616,4129.2,77.1231,86.2192,115.096,0.0751588
2,pi+,-119.222,-135.513,4129.2,-47.5063,-57.7888,172.711,0.0947487
2,pi+,431.982,-175.448,4129.2,142.528,-80.8731,351.618,0.272703
2,pi+,-278.227,-40.9948,4129.2,-180.396,-22.934,152.743,0.135891
2,pi+,-0.73919,293.968,4129.2,6.12619,191.529,245.803,0.201926
2,pi+,-103.465,166.175,4129.2,-3.34181,10.2188,218.045,0.119542
2,pi+,468.714,466.965,4129.2,92.0203,68.8241,280.468,0.194116
2,pi+,53.294,84.3356,4129.2,13.0967,-13.0552,145.868,0.0631594
2,pi+,-9.73897,21.1517,4129.2,42.3604,42.6863,381.413,0.271005
2,pi+,-106.067,46.287,4129.2,-8.95319,6.28222,379.925,0.265328
2,pi+,72.6534,-578.202,4129.2,-9.60529,34.2748,307.909,0.200363
2,pi+,382.521,281.983,4129.2,277.668,127.77,238.07,0.272233
2,pi+,232.546,392.631,4129.2,80.5961,67.3442,95.8297,0.0596637
2,pi+,-276.635,-169.867,4129.2,-202.222,-113.068,91.3461,0.145915
2,pi+,2.63846,-305.116,4129.2,1.1313,-108.965,206.291,0.132294
2,pi+,106.633,-634.105,4130.2,-51.6037,-48.4743,-187.034,0.104303
2,pi+,69.7854,15.3201,4129.2,225.504,-93.6228,142.254,0.175601
2,pi+,189.645,-40.3525,4129.2,-9.93892,13.4069,138.085,0.0574719
2,pi+,-78.4789,-92.7269,4129.2,3.19844,-62.1922,359.476,0.251046
2,pi+,130.879,129.549,4129.2,0.998646,-35.2171,374.762,0.261886
2,pi+,506.791,195.056,4129.2,37.1619,18.0586,156.607,0.0742348
2,pi+,-10.0333,-6.63793,4129.2,38.6662,174.251,110.993,0.112734
2,pi+,75.4045,-137.72,4129.2,52.0491,-183.295,283.302,0.229274
2,pi+,36.8541,-86.1647,4129.2,30.3694,-32.714,249.059,0.149399
2,pi+,-1.15154,-173.43,4129.2,23.7195,-64.1692,383.656,0.274377
2,pi+,264.945,110.984,4129.2,-47.481,-8.45381,339.192,0.230371
2,pi+,186.48,-131.881,4129.2,247.847,-205.738,107.041,0.227437
2,pi+,-142.101,203.312,4129.2,-43.7562,56.7741,255.564,0.160314
2,pi+,14.3229,-18.8593,4129.2,-25.7544,-42.382,304.615,0.199147
2,pi+,218.419,-77.8586,4129.2,68.8543,-30.2399,378.004,0.270335
2,pi+,-85.8002,31.2435,4129.2,24.684,-6.17522,195.609,0.10207
2,pi+,-55.5877,-20.8385,4129.2,174.987,-4.00365,311.364,0.243919
2,pi+,-116.852,-4.53642,4129.2,-32.8293,-21.1109,153.164,0.0712909
2,pi+,34.1644,-115.675,4129.2,-5.90671,-15.7873,114.447,0.0417083
2,pi+,20.3588,-98.0034,4129.2,-7.9532,22.9472,150.278,0.0669564
2,pi+,-37.7654,109.923,4129.2,13.5642,-58.6092,316.281,0.211332
2,pi+,78.4662,108.878,4129.2,-86.0377,15.5494,183.763,0.107195
2,pi+,-207.427,-16.3514,4129.2,11.7215,14.9759,146.733,0.063831
2,pi+,-127.188,-56.2605,4129.2,20.7679,36.2977,303.208,0.196828
2,pi+,-370.871,234.694,4129.2,-89.8477,-157.737,209.367,0.1707
2,pi+,-552.06,110.281,4129.2,-30.0974,-33.5406,194.195,0.103786
2,pi+,344.402,42.677,4129.2,161.328,-187.813,83.672,0.156708
2,pi+,-85.9567,233.212,4129.2,-40.324,174.623,310.086,0.244816
2,pi+,-56.1238,127.599,4129.2,29.0414,-21.5811,321.58,0.212854
2,pi+,-0.227652,-16.1937,4129.2,-100.524,35.0071,142.527,0.0865372
2,pi+,102.874,-238.806,4129.2,-44.8001,7.87839,307.051,0.200767
2,pi+,-43.9098,124.771,4129.2,-68.7119,7.66485,311.262,0.208487
2,pi+,-492.166,40.3493,4129.2,-53.2279,41.2633,173.645,0.0931709
2,pi+,193.556,-61.9906,4129.2,-103.929,31.7277,199.389,0.12697
2,pi+,42.0615,-147.238,4129.2,-3.32887,-30.2502,140.719,0.0609485
2,pi+,-27.17,-1.12039,4129.2,-15.3833,31.9119,280.052,0.175333
2,pi+,-153.632,223.688,4129.2,-12.5,-39.4746,331.484,0.222474
2,pi+,281.216,98.2247,4129.2,174.382,54.4501,191.256,0.159483
2,pi+,-153.105,-159.728,4129.2,-29.0516,-35.2775,244.445,0.145599
2,pi+,-534.476,-70.0028,4129.2,124.314,25.2423,314.372,0.227037
2,pi+,-111.308,-30.0722,4129.2,-116.149,-49.211,118.969,0.0830184
2,pi+,94.0958,-133.949,4129.2,61.755,-42.1632,386.769,0.278355
2,pi+,28.9798,83.8709,4129.2,76.3374,20.1018,353.703,0.248782
2,pi+,-460.027,234.463,4130.2,-3.03909,-9.66638,-273.898,0.168005
2,pi+,-186.59,31.3163,4129.2,9.4655,-15.1228,132.671,0.0538198
2,pi+,-131.203,-228.737,4129.2,-85.2359,-113.104,347.45,0.260754
2,pi+,-127.573,99.2729,4129.2,-55.9027,-8.43203,351.427,0.24276
2,pi+,-108.029,-424.913,4129.2,-37.6514,-330.828,194.719,0.270625
2,pi+,194.638,-197.06,4129.2,209.825,-216.823,204.835,0.250911
2,pi+,-61.1083,-28.3655,4129.2,46.1858,-2.77632,251.775,0.151996
2,pi+,72.9612,-30.4976,4129.2,3.3914,-1.77736,218.507,0.119736
2,pi+,-143.58,45.7614,4129.2,-20.8643,3.88835,146.118,0.0636062
2,pi+,-167.101,175.953,4129.2,-240.2,162.356,132.707,0.20849
2,pi+,-217.251,104.32,4129.2,-174.39,110.023,284.05,0.238161
2,pi+,114.483,-155.02,4129.2,46.0978,-35.5446,307.1,0.202743
2,pi+,140.052,78.1197,4129.2,63.6281,-10.9133,357.744,0.249824
2,pi+,-15.1498,-175.621,4129.2,25.0687,39.3619,386.047,0.273576
2,pi+,24.6146,51.119,4129.2,-38.8331,13.1053,304.238,0.197654
2,pi+,-401.365,-179.955,4129.2,-110.836,-34.6368,40.9005,0.04654
2,pi+,-49.1034,95.9729,4129.2,-11.4898,82.1312,340.557,0.237705
2,pi+,-187.143,131.325,4129.2,-41.8783,50.841,367.261,0.2588
2,pi+,130.632,20.9294,4129.2,62.6346,45.4981,358.518,0.252869
2,pi+,-135.436,-28.588,4129.2,-36.0886,53.6685,383.77,0.27388
2,pi+,16.1937,-55.2956,4129.2,31.8756,-45.2535,325.018,0.218452
2,pi+,2.81719,79.3712,4129.2,-1.53726,4.23868,239.792,0.137919
2,pi+,-179.229,-150.738,4129.2,-99.4299,101.583,202.894,0.144773
2,pi+,-154.977,149.141,4129.2,-15.655,37.0395,189.817,0.0994424
2,pi+,389.108,-32.3664,4129.2,107.493,-5.12112,46.1497,0.0426116
2,pi+,-176.147,-67.2528,4129.2,24.0258,22.5603,364.006,0.251667
2,pi+,-218.19,-6.36836,4129.2,-304.928,-49.9649,138.957,0.226854
2,pi+,-205.802,46.0093,4129.2,-44.1768,-10.3115,239.598,0.141401
