Det,P_Type,x[mm],y[mm],z[mm],px[MeV/c],py[MeV/c],pz[MeV/c],E[GeV]
2,pi+,236.185,70.7051,4129.2,132.562,47.816,141.594,0.104125
2,pi+,13.4084,191.197,4129.2,-13.5076,50.4965,210.607,0.118436
2,pi+,142.596,222.027,4129.2,107.894,164.486,258.245,0.213795
2,pi+,302.127,3.50995,4129.2,242.954,-1.78345,187.865,0.197776
2,pi+,-143.301,102.974,4129.2,-288.149,211.801,131.882,0.266339
2,pi+,101.946,-138.176,4129.2,14.1355,-9.34042,346.61,0.234469
2,pi+,-195.17,-187.238,4129.2,-120.222,-208.686,302.155,0.271259
2,pi+,277.002,-14.6068,4129.2,252.908,-0.546952,110.98,0.16988
2,pi+,303.253,-546.353,4129.2,-12.2862,-178.53,100.505,0.108633
2,pi+,-14.1489,-186.823,4129.2,4.0364,-56.5108,200.521,0.111225
2,pi+,64.5047,175.572,4129.2,11.7611,-52.8325,362.487,0.252611
2,pi+,-102.364,43.5127,4129.2,46.8574,-22.0185,341.331,0.23281
2,pi+,-87.214,20.4567,4129.2,-35.3609,-21.9611,212.113,0.117732
2,pi+,-140.641,94.1446,4129.2,-55.0704,-27.6319,206.674,0.117315
2,pi+,-6.55718,208.159,4129.2,18.3172,69.342,325.491,0.221772
2,pi+,118.054,83.8629,4129.2,3.63165,5.24377,245.479,0.142884
2,pi+,-343.097,208.538,4129.2,-139.859,131.165,272.086,0.221367
2,pi+,-70.1374,224.411,4129.2,-28.5777,334.812,167.288,0.260906
2,pi+,30.8597,-41.8439,4129.2,61.9839,-292.67,168.871,0.231233
2,pi+,1.2213,61.6257,4129.2,-24.7782,-31.9641,267.401,0.164763
2,pi+,159.069,144.461,4129.2,-4.33927,40.786,182.395,0.0937327
2,pi+,-43.3353,-3.12232,4129.2,108.146,38.2493,76.0133,0.0564304
2,pi+,220.354,-84.9361,4129.2,25.6222,-6.55238,104.853,0.0369897
2,pi+,357.262,-174.755,4129.2,-89.9312,46.027,201.207,0.125327
2,pi+,-92.3663,451.228,4129.2,75.9543,-329.228,129.549,0.248274
2,pi+,68.104,135.454,4129.2,99.2529,9.90152,299.946,0.205968
2,pi+,-436.289,-223.935,4129.2,-142.753,-77.084,321.691,0.246804
2,pi+,40.6707,-186.749,4129.2,-113.801,4.31026,169.325,0.107654
2,pi+,-158.858,-151.751,4129.2,-39.4834,-31.916,306.184,0.200732
2,pi+,-72.4432,-200.728,4129.2,-36.6329,-46.2684,304.45,0.200507
2,pi+,-74.2522,185.709,4129.2,-3.40536,13.9525,248.714,0.14599
2,pi+,-466.456,-75.4122,4129.2,47.0143,9.40221,190.091,0.101081
2,pi+,-2.97204,-55.6697,4129.2,1.06187,-3.61885,254.95,0.151108
2,pi+,-5.574,22.8477,4129.2,-0.975472,5.41749,330.269,0.219021
2,pi+,122.144,177.184,4129.2,13.7963,5.78294,102.886,0.0344672
2,pi+,291.158,-161.516,4129.2,247.5,-140.108,267.062,0.274782
2,pi+,-213.766,4.47464,4129.2,-41.2343,-1.0627,202.62,0.109901
2,pi+,-340.014,-52.5744,4129.2,-40.5076,-6.14244,378.515,0.265932
2,pi+,48.3592,-54.1004,4129.2,-45.6704,29.8671,298.369,0.194319
2,pi+,-25.7814,184.177,4129.2,-53.3729,31.4,367.259,0.258166
2,pi+,-86.5046,55.0833,4129.2,-39.1566,70.0111,273.497,0.177786
2,pi+,-13.0835,-42.6974,4129.2,26.6132,38.6761,364.296,0.253362
2,pi+,43.4754,17.2164,4129.2,-27.279,-18.478,248.521,0.147358
2,pi+,-167.252,60.414,4129.2,35.0388,5.80087,251.564,0.150301
2,pi+,-0.840291,54.1924,4129.2,17.9567,36.2273,246.992,0.146995
2,pi+,378.127,489.609,4129.2,163.994,251.837,63.8307,0.197876
2,pi+,1.70676,-7.97464,4129.2,241.237,139.411,183.596,0.222118
2,pi+,114.751,-14.7876,4129.2,-19.2723,8.34747,219.75,0.121602
2,pi+,-207.375,-122.639,4129.2,-64.4244,-22.9708,194.614,0.109493
2,pi+,92.9183,-156.702,4129.2,114.129,-124.886,195.154,0.154006
2,pi+,67.0716,115.08,4129.2,-9.6389,2.41057,180.346,0.0886909
2,pi+,162.475,-113.846,4129.2,116.597,-57.9582,125.376,0.0888
2,pi+,-500.666,8.27498,4129.2,-70.5603,-71.4035,274.518,0.184339
2,pi+,-56.4485,-64.9867,4129.2,-22.2058,-36.6322,320.762,0.212855
2,pi+,-107.365,-80.3252,4129.2,-269.94,-195.052,177.476,0.262786
2,pi+,146.872,179.556,4129.2,157.697,140.012,86.1341,0.127583
2,pi+,-180.446,106.598,4129.2,-69.665,39.1319,292.507,0.194233
2,pi+,271.109,-248.946,4129.2,-37.1115,130.397,269.527,0.192853
2,pi+,27.8225,-110.209,4129.2,29.2025,32.0887,271.927,0.169147
2,pi+,48.0166,123.733,4129.2,7.36067,204.202,240.995,0.205844
2,pi+,36.7957,-79.1427,4129.2,21.1878,-60.4354,303.291,0.20038
2,pi+,-21.9875,-43.0848,4129.2,-14.8037,-58.468,377.224,0.267143
2,pi+,196.709,26.6171,4129.2,-24.7777,-31.8133,355.751,0.244701
2,pi+,29.1986,-207.362,4129.2,-38.2182,23.2215,392.039,0.278968
2,pi+,-15.6854,14.0223,4129.2,-208.041,129.999,168.078,0.188928
2,pi+,-51.6732,96.9364,4129.2,3.94754,51.5684,303.195,0.19819
2,pi+,-96.9136,40.1617,4129.2,49.9843,2.67489,387.163,0.275013
2,pi+,-176.59,21.9032,4129.2,103.737,5.83407,348.611,0.250051
