Det,P_Type,x[mm],y[mm],z[mm],px[MeV/c],py[MeV/c],pz[MeV/c],E[GeV]
2,pi+,-133.94,38.1538,3259.22,38.7952,-6.50278,244.94,0.145075
2,pi+,179.134,-163.921,3259.22,98.2824,-64.9672,373.627,0.276311
2,pi+,-30.6312,62.9392,3259.22,15.7846,-48.3696,339.894,0.23137
2,pi+,126.776,55.9822,3259.22,-5.88324,-39.6123,291.65,0.186226
2,pi+,-56.1334,7.55348,3259.22,51.3599,12.9157,145.879,0.0691527
2,pi+,-71.258,108.647,3259.22,70.1371,4.17253,392.7,0.283076
2,pi+,5.90879,-189.486,3259.22,-91.9157,-151.847,160.45,0.137432
2,pi+,-145.412,-90.7368,3259.22,16.5594,20.0073,238.962,0.138382
2,pi+,121.858,-182.013,3259.22,61.4892,141.003,212.431,0.157532
2,pi+,75.3535,393.912,3259.22,-72.213,-314.873,160.156,0.247068
2,pi+,-271.556,-561.281,3259.22,-54.9392,-25.6204,248.902,0.15216
2,pi+,144.036,133.207,3259.22,17.6388,15.4531,360.9,0.248088
2,pi+,-184.58,-21.5313,3259.22,-84.6333,-2.25145,278.042,0.18285
2,pi+,-110.854,14.3741,3259.22,-0.245366,-68.4096,332.217,0.22721
2,pi+,143.535,-28.9116,3259.22,-52.7123,-1.37423,283.21,0.180536
2,pi+,-102.035,-51.935,3259.22,-28.0773,15.4173,115.937,0.0446741
2,pi+,-96.4177,109.77,3259.22,131.864,1.06088,199.914,0.137621
2,pi+,309.402,-215.247,3259.22,234.561,-77.1932,89.6993,0.157924
2,pi+,122.616,58.1934,3259.22,-38.5034,14.097,274.202,0.170829
2,pi+,-10.0738,-335.573,3259.22,5.91618,-66.99,289.338,0.188636
2,pi+,143.686,-66.8037,3259.22,-16.9185,-13.5033,265.29,0.160974
2,pi+,21.9932,-111.109,3259.22,21.4898,-70.5275,315.572,0.213278
2,pi+,91.3518,120.086,3259.22,-22.9704,8.12912,185.679,0.0939895
2,pi+,-141.268,-138.729,3259.22,-140.269,-181.119,69.4249,0.13752
2,pi+,15.533,-93.4701,3259.22,-0.0272931,34.7375,318.691,0.210073
2,pi+,-39.148,-35.9005,3259.22,-47.8075,64.2937,379.851,0.272966
2,pi+,-32.3098,36.3579,3259.22,-20.9545,-23.312,260.365,0.157503
2,pi+,-556.916,45.7973,3259.22,-256.569,32.5087,82.8829,0.165771
2,pi+,20.2805,-514.38,3259.22,19.535,-40.0406,224.363,0.128391
2,pi+,176.3,-8.54437,3259.22,-1.15483,0.116044,384.837,0.269795
