Det,P_Type,x[mm],y[mm],z[mm],px[MeV/c],py[MeV/c],pz[MeV/c],E[GeV]
2,pi+,31.0299,-186.928,3259.22,-168.998,159.949,199.926,0.197467
2,pi+,-41.437,10.2252,3259.22,47.8824,33.3461,340.75,0.23325
2,pi+,-112.182,-313.995,3259.22,64.3604,238.792,80.6251,0.155631
2,pi+,134.697,179.472,3259.22,66.2813,96.1893,88.4623,0.0627931
2,pi+,-354.531,6.3767,3259.22,-83.0894,3.82763,102.223,0.0523875
2,pi+,231.885,-16.0994,3259.22,93.136,3.98768,325.02,0.226228
2,pi+,9.53947,-146.736,3259.22,51.5256,-9.74053,213.756,0.121047
2,pi+,-50.8125,72.9441,3259.22,-205.447,7.89878,262.177,0.22166
2,pi+,-128.2,43.5529,3259.22,-84.8776,-3.7208,382.873,0.27671
2,pi+,206.178,-22.1055,3259.22,126.238,-5.94172,271.497,0.190826
2,pi+,-102.453,-47.8362,3259.22,-66.5068,-42.6202,321.581,0.219781
2,pi+,182.036,54.6462,3259.22,22.9249,6.97522,300.432,0.192564
2,pi+,-496.788,-126.729,3259.22,128.638,48.0493,75.6389,0.0703286
2,pi+,-30.0752,12.1779,3259.22,-52.5212,-31.8153,287.066,0.185479
2,pi+,-258.956,320.104,3260.22,-116.595,137.38,-219.302,0.176722
2,pi+,111.353,52.4379,3259.22,54.9038,1.80573,198.555,0.10927
2,pi+,-87.4575,225.069,3259.22,-40.7714,111.477,323.892,0.232552
2,pi+,86.9214,330.513,3259.22,13.0825,64.1898,184.714,0.101034
2,pi+,-133.087,-211.36,3259.22,-44.8675,-86.5079,293.527,0.199745
2,pi+,71.7573,-111.534,3259.22,-22.8914,31.9862,305.802,0.19887
2,pi+,-103.095,-76.3042,3259.22,-9.78767,-4.09699,232.306,0.131647
