Det,P_Type,x[mm],y[mm],z[mm],px[MeV/c],py[MeV/c],pz[MeV/c],E[GeV]
2,pi+,9.69125,-321.815,3259.22,5.12737,-127.107,122.303,0.0854192
2,pi+,456.469,126.646,3259.22,-24.3484,-10.8007,164.016,0.0774332
2,pi+,-202.638,268.878,3259.22,-83.0845,113.581,81.2737,0.074646
2,pi+,-44.1742,101.672,3259.22,35.3019,-41.7323,273.784,0.17256
2,pi+,369.581,-103.85,3260.22,186.35,98.8102,-75.1909,0.124292
2,pi+,-60.2131,-150.179,3259.22,-10.3413,-34.2887,167.403,0.0813051
2,pi+,-252.838,504.501,3259.22,-10.8585,72.2408,229.53,0.138819
2,pi+,-164.779,-213.752,3259.22,66.1619,174.355,269.86,0.216915
2,pi+,92.1265,272.37,3259.22,-1.0773,27.035,216.956,0.119817
2,pi+,102.321,-37.5845,3259.22,193.697,-72.1027,76.6243,0.121329
2,pi+,102.786,-8.59938,3259.22,53.4042,25.395,258.331,0.159949
2,pi+,-294.84,531.331,3259.22,-0.118824,8.4173,101.542,0.0332343
2,pi+,210.185,49.7909,3259.22,95.9762,20.7336,259.065,0.170649
2,pi+,54.7391,-430.815,3260.22,3.83063,116.269,-204.335,0.133863
2,pi+,-308.836,169.034,3259.22,-15.641,324.038,45.1784,0.216471
2,pi+,-46.9644,76.3728,3259.22,10.875,63.8895,321.009,0.216417
2,pi+,-127.398,-27.7609,3259.22,19.6127,28.7865,256.492,0.154507
2,pi+,76.9518,15.406,3259.22,292.042,-58.1731,250.618,0.273905
2,pi+,543.867,-359.04,3259.22,159.811,-108.177,34.1966,0.101034
2,pi+,-121.386,-152.449,3259.22,5.513,47.4246,362.202,0.251518
2,pi+,-74.779,-106.928,3259.22,0.060922,70.3488,353.471,0.246915
2,pi+,-90.2149,20.2459,3259.22,68.9526,-14.9568,247.49,0.153191
2,pi+,-127.061,-15.775,3259.22,36.9391,5.90045,314.212,0.206274
