Det,P_Type,x[mm],y[mm],z[mm],px[MeV/c],py[MeV/c],pz[MeV/c],E[GeV]
2,pi+,-146.507,-183.628,3259.22,-55.0257,-77.8414,221.284,0.138878
2,pi+,61.7287,58.2597,3259.22,-14.5385,-28.551,225.684,0.127712
2,pi+,8.93809,-117.863,3259.22,-17.5937,33.477,267.629,0.164626
2,pi+,203.014,306.136,3259.22,23.7135,65.6578,383.749,0.274696
2,pi+,-197.698,61.3835,3259.22,17.7894,-34.6586,290.672,0.185219
2,pi+,160.942,-13.5021,3259.22,51.4357,64.4266,379.886,0.273454
2,pi+,66.4028,-142.028,3259.22,32.2389,-106.99,312.845,0.22076
2,pi+,-226.187,309.682,3260.22,104.046,27.444,-131.358,0.0802325
2,pi+,-73.4658,98.5775,3259.22,-39.2877,-75.2896,367.902,0.262977
2,pi+,11.607,69.3356,3259.22,-40.5445,40.5598,257.896,0.159226
2,pi+,-16.0285,139.635,3259.22,-12.2154,83.9852,361.503,0.257125
2,pi+,-172.996,-62.6232,3259.22,-8.92693,34.8326,302.173,0.195216
2,pi+,-17.163,178.713,3259.22,58.2941,-23.3995,210.668,0.120826
2,pi+,37.3134,-14.7802,3259.22,-159.611,55.2614,214.554,0.167094
2,pi+,66.3126,97.4939,3259.22,55.4691,-32.3652,280.37,0.180135
2,pi+,444.781,-336.812,3259.22,256.944,-180.306,98.5095,0.217801
2,pi+,328.732,-50.1119,3259.28,37.5306,5.54005,390.573,0.276923
2,pi+,515.138,-142.811,3259.22,-295.06,62.9333,81.1707,0.202613
2,pi+,-145.661,49.9532,3259.22,-24.8745,50.6537,187.405,0.100814
2,pi+,169.358,17.1689,3259.22,-42.2772,-20.2631,291.522,0.187023
2,pi+,72.9415,191.612,3259.22,-12.4392,55.8779,225.408,0.13166
2,pi+,-150.468,98.0157,3259.22,22.7193,-13.9329,216.667,0.119534
2,pi+,13.8527,-16.1394,3259.22,7.31242,2.26005,213.105,0.115287
2,pi+,-0.916948,141.203,3259.22,11.5909,318.812,120.349,0.228857
2,pi+,192.887,59.2043,3259.22,52.0711,26.0091,210.076,0.119272
2,pi+,76.6376,-105.369,3259.22,3.16569,-10.9719,264.731,0.159917
2,pi+,73.9535,112.667,3259.22,37.218,49.132,209.868,0.119898
