Det,P_Type,x[mm],y[mm],z[mm],px[MeV/c],py[MeV/c],pz[MeV/c],E[GeV]
2,pi+,9.72633,-321.802,3259.22,7.67715,-182.644,176.314,0.15023
2,pi+,60.2837,-174.949,3259.22,-8.59276,18.3838,231.71,0.131689
2,pi+,-76.6949,-40.2609,3259.22,264.559,-91.2764,103.071,0.189711
2,pi+,-540.304,113.833,3259.22,49.058,142.76,267.471,0.197784
2,pi+,510.665,175.786,3260.22,-50.5521,-84.0857,-59.6185,0.0411506
2,pi+,333.505,-117.697,3259.22,-50.8638,-84.4914,58.337,0.041006
2,pi+,0.300546,-90.3286,3259.22,-10.9246,-81.3741,345.576,0.242063
2,pi+,-139.795,-17.2091,3259.22,-45.4037,27.5627,223.687,0.129384
2,pi+,-33.8413,7.449,3259.22,3.48757,34.9186,292.488,0.186406
2,pi+,111.688,-118.552,3259.22,-71.2711,-8.53221,342.812,0.23746
2,pi+,-128.293,-75.6896,3259.22,-41.4491,-10.1097,220.503,0.124857
2,pi+,58.6274,-58.2589,3259.22,99.2984,9.51929,268.947,0.179433
2,pi+,64.7085,-71.063,3259.22,41.1749,48.9033,319.244,0.214666
2,pi+,87.5184,96.182,3259.22,65.2604,33.2343,271.468,0.174338
2,pi+,164.287,132.782,3259.22,80.3746,73.3893,153.405,0.0946499
2,pi+,499.981,69.1782,3259.22,225.724,-36.4965,78.6486,0.139623
2,pi+,-76.5732,222.619,3259.22,-25.4369,60.2243,323.799,0.219038
2,pi+,-65.4114,211.58,3259.22,-38.8899,7.43115,132.25,0.0567397
2,pi+,-57.5894,-160.756,3259.22,-83.3128,59.1863,172.599,0.104795
2,pi+,-56.5895,204.319,3259.22,34.0852,151.022,221.345,0.164474
2,pi+,-4.09525,-99.5962,3259.22,52.7932,-21.2745,274.249,0.17337
2,pi+,11.9357,154.252,3259.22,73.0705,-6.6094,189.86,0.107229
