Det,P_Type,x[mm],y[mm],z[mm],px[MeV/c],py[MeV/c],pz[MeV/c],E[GeV]
2,pi+,-156.908,107.211,3259.22,-82.6855,40.9829,343.592,0.242597
2,pi+,-180.545,-513.34,3259.22,-17.6606,-256.624,274.576,0.261727
2,pi+,-183.543,-259.115,3259.22,-8.59883,16.0631,116.924,0.0434135
2,pi+,-90.8586,-194.245,3259.22,-48.2418,21.3476,257.434,0.157978
2,pi+,7.65743,22.7223,3259.22,20.6954,-172.321,169.727,0.140447
2,pi+,16.1224,-12.792,3259.22,-64.6754,-67.6218,128.873,0.0721926
2,pi+,-57.8913,64.5659,3259.22,-54.4367,-44.8229,356.327,0.249558
2,pi+,589.357,-55.2201,3259.22,-249.387,109.25,209.754,0.231383
2,pi+,-23.1962,83.6667,3259.22,157.21,-324.03,73.5612,0.253622
2,pi+,113.193,22.4434,3259.22,-31.6962,55.2706,335.38,0.229237
2,pi+,-15.9112,171.043,3259.22,-2.13029,19.2898,384.297,0.269746
2,pi+,-12.6606,102.362,3259.22,-0.509618,10.9136,344.943,0.2327
2,pi+,-45.35,-4.42963,3259.22,-74.0644,-15.5578,357.746,0.251824
2,pi+,-110.263,-123.862,3259.22,-73.2952,-40.7121,291.479,0.1943
2,pi+,-162.594,-120.377,3259.22,-4.16075,20.8898,187.814,0.0953923
2,pi+,-105.665,-13.1352,3259.22,29.0389,22.9992,250.05,0.149179
2,pi+,82.9425,-160.102,3259.22,9.32332,-18.3865,318.212,0.208516
2,pi+,-167.122,70.4381,3259.22,-49.7393,15.4574,246.838,0.148738
2,pi+,-167.141,58.7803,3259.22,-89.2596,23.7173,326.613,0.227424
2,pi+,638.879,-210.349,3259.22,135.186,167.913,236.182,0.20933
2,pi+,-37.0096,53.5255,3259.22,-46.529,75.144,332.202,0.231441
2,pi+,-40.9365,-387.924,3259.22,-2.15143,-21.6418,102.144,0.0347459
2,pi+,-53.9025,-653.155,3260.22,-0.821724,66.466,-366.349,0.25806
2,pi+,47.5714,-125.179,3259.22,5.40882,-6.1229,137.15,0.0562785
2,pi+,56.4993,33.3426,3259.22,-6.70626,33.4446,146.938,0.0659391
2,pi+,215.452,-264.576,3260.22,79.4808,-92.6632,-175.673,0.11586
2,pi+,257.458,-561.534,3259.22,22.986,-8.6629,338.064,0.226995
2,pi+,30.1858,-78.7647,3259.22,0.201777,-4.53375,181.725,0.0896114
2,pi+,226.575,31.3707,3259.22,109.603,43.2995,370.017,0.27308
2,pi+,-72.1916,-154.219,3259.22,-81.3692,-73.5831,324.409,0.230236
2,pi+,14.0219,21.1164,3259.22,-3.5309,138.974,373.637,0.282817
2,pi+,-134.251,-655.61,3259.22,4.7177,-329.803,155.475,0.250871
2,pi+,-40.3361,-93.1934,3260.22,-254.686,162.612,-134.702,0.219501
2,pi+,-86.6461,67.4363,3259.22,8.91201,-9.1971,218.634,0.120131
2,pi+,-128.238,100.728,3259.22,23.8647,9.13066,97.5012,0.0325895
2,pi+,25.7134,8.19563,3259.22,-0.938179,-57.9341,322.065,0.216187
2,pi+,21.2348,185.499,3259.22,-3.64595,-36.7224,314.439,0.206426
2,pi+,-20.308,-170.652,3259.22,-1.87344,-15.0774,229.999,0.129892
