Det,P_Type,x[mm],y[mm],z[mm],px[MeV/c],py[MeV/c],pz[MeV/c],E[GeV]
2,pi+,-51.0838,-273.182,2621.9,-10.43,-212.463,247.118,0.215107
2,pi+,-167.2,-91.7633,2621.9,-159.618,-113.618,88.8798,0.116878
2,pi+,320.821,-122.572,2621.9,155.272,-59.171,200.489,0.155872
2,pi+,96.8133,100.019,2621.9,115.452,117.614,174.525,0.1381
2,pi+,340.543,-422.964,2621.9,145.174,-161.293,303.456,0.258746
2,pi+,99.178,-134.82,2621.9,-57.197,-130.506,250.35,0.18052
2,pi+,-135.144,219.724,2621.9,-173.572,325.103,127.137,0.27451
2,pi+,80.9937,-4.23343,2621.9,94.1485,42.5845,258.923,0.172196
2,pi+,160.035,132.61,2621.9,52.4296,75.829,194.992,0.117335
2,pi+,-251.73,-47.7339,2621.9,-2.62649,25.8349,101.006,0.0346605
2,pi+,-81.3599,229.613,2621.9,24.0988,-51.7043,234.304,0.139055
2,pi+,-115.037,164.079,2621.9,-8.05274,17.1246,243.812,0.142001
2,pi+,123.182,-220.686,2621.9,19.5638,-29.544,357.326,0.245679
2,pi+,-92.4485,-23.2195,2621.9,-110.399,-43.8281,352.766,0.257963
2,pi+,655.346,40.2775,2621.9,131.166,8.39428,227.154,0.157673
2,pi+,104.306,-304.597,2621.9,14.7002,-43.1782,378.005,0.265951
2,pi+,292.868,376.129,2621.9,150.934,208.136,280.576,0.265774
2,pi+,582.939,-88.045,2621.9,-47.3032,-2.46383,224.196,0.128735
2,pi+,252.432,128.944,2621.9,223.798,96.9904,114.607,0.163921
2,pi+,-98.491,-287.842,2621.9,30.6006,0.141686,172.477,0.0844046
2,pi+,-320.146,67.4983,2621.9,19.6655,-14.1684,133.592,0.0551451
2,pi+,142.256,-104.612,2621.9,-77.8542,7.92231,252.531,0.159387
2,pi+,7.42447,-60.4512,2621.9,72.9035,-137.392,362.702,0.279028
2,pi+,-88.4958,9.92355,2621.9,-86.5777,-32.5857,59.5693,0.0381539
2,pi+,260.573,-49.0857,2621.9,41.9209,-54.3265,142.566,0.0714126
2,pi+,14.3519,126.324,2621.9,47.8967,5.25346,129.301,0.0566955
2,pi+,257.08,-71.9319,2621.9,-121.669,-18.4256,323.718,0.233814
2,pi+,57.2843,196.256,2621.9,8.03289,34.027,361.544,0.249552
2,pi+,21.0557,-31.5337,2621.9,73.6608,-20.4607,167.773,0.0916705
2,pi+,186.221,-147.234,2621.9,28.5498,-23.8598,358.068,0.246535
2,pi+,276.503,212.195,2621.9,174.217,151.096,194.76,0.192984
2,pi+,-87.623,148.858,2621.9,-142.279,168.716,228.035,0.207107
2,pi+,87.7848,66.7981,2621.9,89.0599,93.3044,151.2,0.103284
2,pi+,368.17,120.928,2621.9,80.9652,26.3835,178.382,0.102404
2,pi+,-253.301,161.123,2621.9,-187.793,151.415,141.568,0.173022
2,pi+,380.868,-11.7001,2621.9,62.998,-4.47736,340.951,0.234216
2,pi+,386.052,6.23432,2621.9,107.819,9.10123,121.705,0.0749053
2,pi+,-307.818,341.764,2621.9,-145.331,164.034,254.846,0.224373
2,pi+,124.067,-3.13002,2621.9,187.728,-15.2358,87.2073,0.110547
2,pi+,24.2626,67.3053,2621.9,-71.2848,-55.3727,262.904,0.17147
2,pi+,-173.673,-329.369,2621.9,-15.2252,-39.3034,292.125,0.186917
2,pi+,-40.4385,-46.5401,2621.9,-54.3029,-1.03796,140.545,0.0658136
2,pi+,80.4723,-190.108,2621.9,10.4847,-27.2712,303.265,0.195546
2,pi+,-72.0535,168.957,2621.9,68.8665,-79.8252,360.658,0.261265
2,pi+,343.889,579.045,2621.9,185.643,144.42,95.9546,0.150271
2,pi+,64.6722,152.558,2621.9,-32.7234,-75.9735,271.155,0.176417
2,pi+,326.807,-114.995,2621.9,114.317,-52.7882,147.487,0.0993583
2,pi+,444.48,-293.472,2621.9,227.918,-141.404,221.344,0.235149
2,pi+,-75.5839,-49.7305,2621.9,93.2293,-38.4071,201.292,0.125317
2,pi+,126.694,64.3805,2621.9,-56.6596,-31.1334,338.687,0.232409
2,pi+,-13.4649,-137.877,2621.9,-34.736,-112.682,137.196,0.0889174
2,pi+,-118.488,-59.4997,2621.9,-59.199,17.7409,138.281,0.066391
2,pi+,229.046,167.093,2621.9,101.379,89.3454,92.6893,0.0756768
2,pi+,118.61,-3.13357,2621.9,98.7067,-36.8945,268.351,0.180736
2,pi+,-127.831,-51.5854,2621.9,179.508,51.674,148.971,0.137135
2,pi+,-82.0159,-196.117,2621.9,35.4808,-19.2673,135.404,0.0590177
2,pi+,-221.557,-132.117,2621.9,-151.875,-73.2955,43.9812,0.0837062
2,pi+,82.9522,-307.159,2621.9,71.5177,-228.647,230.783,0.221172
2,pi+,27.7261,-138.39,2621.9,6.80824,-19.0127,250.035,0.147493
2,pi+,-142.441,-301.521,2621.9,-19.3863,-39.593,327.287,0.218954
2,pi+,224.357,186.074,2621.9,81.4728,107.58,152.625,0.107382
2,pi+,-353.181,308.991,2621.9,-154.552,146.493,314.764,0.265279
2,pi+,390.531,64.3973,2621.9,51.238,5.34285,289.053,0.185522
2,pi+,48.7128,-245.87,2621.9
