Det,P_Type,x[mm],y[mm],z[mm],px[MeV/c],py[MeV/c],pz[MeV/c],E[GeV]
2,pi+,290.363,-234.975,2621.9,17.4358,-16.6284,150.733,0.0672647
2,pi+,126.018,-49.1524,2621.9,-119.99,48.5073,363.743,0.270966
2,pi+,421.269,-535.113,2621.9,-146.015,224.853,179.33,0.211882
2,pi+,114.575,-171.992,2621.9,43.619,-68.1419,156.01,0.0848508
2,pi+,-214.59,-117.057,2621.9,-208.628,-144.288,273.796,0.258913
2,pi+,130.935,-325.128,2621.9,107.478,-291.348,123.596,0.222633
2,pi+,-238.64,169.273,2621.9,-234.245,128.385,176.645,0.209767
2,pi+,33.7528,-12.2885,2621.9,-50.611,66.3684,278.199,0.182673
2,pi+,23.9935,128.458,2621.9,32.5408,90.1372,252.468,0.16441
2,pi+,-243.354,-54.8928,2621.9,-190.273,-34.9608,236.869,0.196603
2,pi+,213.075,-446.994,2621.9,102.787,-208.028,75.8395,0.141628
2,pi+,27.1479,-142.566,2621.9,-0.711699,41.5162,133.608,0.058053
2,pi+,24.1855,53.8567,2621.9,85.248,-79.3427,316.401,0.225329
2,pi+,-65.096,107.954,2621.9,64.857,47.8002,214.899,0.129042
2,pi+,410.558,-326.304,2621.9,237.756,-177.893,250.808,0.273416
2,pi+,-55.6584,52.138,2621.9,-175.858,-74.6868,87.4581,0.112685
2,pi+,-39.7394,-395.698,2621.9,-40.5513,-281.414,246.994,0.262081
2,pi+,44.5096,91.6351,2621.9,52.2431,98.4592,86.8626,0.059046
2,pi+,-52.177,30.9019,2621.9,181.078,-103.53,144.419,0.149989
2,pi+,340.642,-152.651,2621.9,123.051,-70.831,277.778,0.202188
2,pi+,-49.6227,-38.3906,2621.9,79.6092,-61.0904,335.448,0.237358
2,pi+,-458.393,92.0272,2621.9,-267.701,65.1885,283.287,0.27953
2,pi+,23.974,-88.012,2621.9,-61.8096,73.4675,325.18,0.22709
2,pi+,-277.952,144.796,2621.9,-147.694,66.264,343.899,0.265338
2,pi+,-317.141,211.399,2621.9,-30.1416,18.0409,228.732,0.130674
2,pi+,-329.513,-318.378,2621.9,-240.372,-219.957,115.168,0.233126
2,pi+,63.8989,-25.2275,2621.9,94.9627,24.0875,180.67,0.108864
2,pi+,-152.813,60.0468,2621.9,-18.6802,7.24483,300.412,0.192286
2,pi+,-320.469,-175.799,2621.9,-36.2279,-20.6278,249.154,0.149039
2,pi+,247.05,-40.975,2621.9,93.2598,-34.257,98.2093,0.0579033
2,pi+,-49.4024,-61.7276,2621.9,241.582,123.039,292.74,0.283131
2,pi+,-95.9828,-172.86,2621.9,-17.6439,72.4933,272.981,0.175969
2,pi+,-326.239,26.8027,2621.9,-265.154,-21.0337,283.057,0.273165
2,pi+,17.7951,132.355,2621.9,19.8105,-108.141,355.046,0.257449
2,pi+,-320.633,-74.1461,2621.9,-110.612,-37.4255,153.36,0.0984091
2,pi+,-203.363,-493.695,2622.9,-84.5528,128.094,-75.524,0.0812035
2,pi+,157.854,-12.1346,2621.9,-77.8556,19.7868,279.256,0.18279
2,pi+,104.119,-37.5353,2621.9,-248.149,83.3297,295.35,0.279038
2,pi+,1.79045,62.6341,2621.9,42.0601,298.282,215.364,0.256161
2,pi+,-98.7439,-208.916,2621.9,-90.7325,-95.3102,326.877,0.239435
2,pi+,-82.506,204.485,2621.9,-123.033,214.785,285.339,0.26313
2,pi+,-15.0578,36.1839,2621.9,-20.3532,138.062,127.251,0.095266
2,pi+,-98.8513,-408.53,2621.9,-47.7981,-133.517,256.639,0.185168
2,pi+,-414.279,-120.528,2621.9,-143.492,-50.4449,279.239,0.207688
2,pi+,-96.7019,-210.89,2621.9,-110.431,-182.751,89.6999,0.130834
2,pi+,50.4146,19.5045,2621.9,-203.287,-115.461,146.558,0.169648
2,pi+,13.6077,296.812,2621.9,-9.14642,-73.2697,364.009,0.25721
2,pi+,56.2659,323.396,2621.9,-18.8075,56.9947,142.957,0.0690411
2,pi+,-413.772,347.781,2621.9,-249.322,236.555,156.33,0.26297
2,pi+,297.889,-203.329,2621.9,74.3612,-39.9144,158.577,0.0879145
2,pi+,123.775,50.157,2621.9,246.502,96.7581,291.513,0.278263
2,pi+,73.8293,-26.9467,2621.9,192.801,-67.2049,167.492,0.15913
2,pi+,387.835,-60.3845,2621.9,44.5711,-3.93677,263.322,0.161793
2,pi+,218.701,345.689,2621.9,125.485,199.271,187.705,0.192346
2,pi+,-360.599,-95.9739,2621.9,-66.9576,-7.2952,140.039,0.0693005
2,pi+,-182.539,267.866,2621.9,-26.9074,43.6428,357.587,0.247699
2,pi+,-0.867187,40.7061,2621.9,40.9057,154.217,130.929,0.109585
2,pi+,-3.4688,-150.513,2621.9,-0.78508,-238.329,176.016,0.18794
2,pi+,12.2378,343.235,2621.9,1.34517,35.6979,252.4,0.151052
2,pi+,-101.434,167.971,2621.9,72.5568,-117.749,173.772,0.122738
2,pi+,30.6348,-95.4208,2621.9,67.7755,60.8017,242.963,0.15505
2,pi+,512.68,266.651,2621.9,216.612,108.186,86.9882,0.153127
2,pi+,24.5688,-42.7519,2621.9,24.5286,178.371,83.8122,0.103169
2,pi+,-22.2541,108.669,2621
