Det,P_Type,x[mm],y[mm],z[mm],px[MeV/c],py[MeV/c],pz[MeV/c],E[GeV]
2,pi+,557.456,-311.27,2621.9,84.3072,-51.8017,383.26,0.280143
2,pi+,-26.9523,168.864,2621.9,-17.4975,72.3838,179.565,0.0997394
2,pi+,-13.6514,204.131,2621.9,-19.7093,154.551,303.872,0.229336
2,pi+,-236.562,-405.86,2621.9,-103.136,-200.722,253.292,0.227258
2,pi+,-98.3839,58.5086,2621.9,96.1945,-51.7526,354.969,0.257184
2,pi+,10.7622,618.11,2621.9,33.4703,15.7768,163.815,0.0787971
2,pi+,-3.03284,190.373,2621.9,2.80006,29.2227,362.212,0.24971
2,pi+,287.622,62.5108,2621.9,37.9324,6.9045,276.222,0.172303
2,pi+,212.463,108.373,2621.9,-63.6732,-24.1419,277.206,0.178172
2,pi+,-179.44,13.9186,2621.9,-147.44,-12.8676,328.798,0.247072
2,pi+,-60.1627,354.386,2621.9,-39.6178,306.369,119.871,0.219985
2,pi+,-54.4708,10.0423,2621.9,115.439,-10.9346,315.041,0.223991
2,pi+,-85.9173,120.484,2621.9,41.7574,-34.8987,214.845,0.122346
2,pi+,164.609,86.4109,2621.9,-32.4504,-20.9468,136.696,0.059571
2,pi+,-244.168,141.588,2621.9,-99.1339,65.9909,239.733,0.162314
2,pi+,5.55553,-110.281,2621.9,53.2929,-153.612,70.3358,0.0859579
2,pi+,-92.0323,165.635,2621.9,-33.8574,138.586,138.103,0.103133
2,pi+,47.7862,169.187,2621.9,-17.5343,116.838,249.498,0.169764
2,pi+,28.829,224.561,2621.9,10.0803,89.6181,200.318,0.120699
2,pi+,357.424,-1.15177,2621.9,86.9918,-9.53445,171.697,0.0983754
2,pi+,-148.003,303.712,2621.9,-89.1463,191.026,198.286,0.181732
2,pi+,-305.932,281.269,2621.9,-18.2264,19.5809,149.533,0.0667197
2,pi+,-367.824,183.043,2621.9,-233.092,113.22,267.653,0.25826
2,pi+,238.212,5.22363,2621.9,83.6626,49.7496,233.805,0.149599
2,pi+,132.307,317.227,2621.9,47.2981,152.387,331.432,0.253859
2,pi+,-243.84,195.337,2621.9,-86.604,73.7272,241.934,0.162003
2,pi+,-447.622,-417.177,2621.9,-210.49,-194.348,235.202,0.256506
2,pi+,-149.553,279.649,2621.9,64.6432,1.87406,251.265,0.155042
2,pi+,-455.224,-190.459,2621.9,-238.145,-77.3999,288.619,0.267228
2,pi+,-84.4148,81.803,2621.9,-102.704,9.40912,169.903,0.103295
2,pi+,-172.817,83.8971,2621.9,-28.9472,14.5578,387.15,0.273243
2,pi+,-673.251,-80.9312,2621.9,-70.5459,19.9876,275.685,0.178011
2,pi+,-57.5728,366.868,2621.9,-55.5358,320.957,123.492,0.2357
2,pi+,-22.3674,156.35,2621.9,-4.12542,18.303,300.014,0.191851
2,pi+,464.42,-340.898,2621.9,301.102,-214.819,139.402,0.279622
2,pi+,500.184,167.02,2621.9,171.929,54.9513,72.7766,0.0999196
2,pi+,104.227,-296.305,2621.9,70.3749,-84.3961,59.6699,0.0478211
2,pi+,-321.637,-263.739,2621.9,-159.198,-122.524,214.667,0.18588
2,pi+,218.906,-252.898,2621.9,10.2106,-16.3118,141.446,0.060072
2,pi+,11.1384,82.8781,2621.9,74.6877,5.74036,224.64,0.1353
2,pi+,35.0324,-259.179,2621.9,48.5001,-138.81,361.566,0.274954
2,pi+,-125.775,318.233,2621.9,-33.6117,114.657,261.08,0.179676
2,pi+,-38.4307,27.5041,2621.9,142.016,-72.9677,272.258,0.205534
2,pi+,278.705,-226.586,2621.9,102.127,-97.617,284.605,0.207473
2,pi+,-405.585,-398.948,2621.9,-39.8421,-30.3659,230.256,0.134303
2,pi+,-323.678,84.5898,2621.9,78.2696,-290.152,64.1802,0.19794
2,pi+,51.4759,201.219,2621.9,52.937,103.532,91.8876,0.0640037
2,pi+,-228.919,77.4496,2621.9,-269.618,85.7944,215.892,0.242717
2,pi+,203.3,364.064,2621.9,61.4643,99.2646,223.428,0.148581
2,pi+,69.4389,40.7594,2621.9,-79.8858,-4.25761,234.837,0.145084
2,pi+,11.7836,-171.203,2621.9,5.09044,23.7969,163.725,0.0769433
2,pi+,81.4562,-22.9989,2621.9,142.015,-5.84962,343.541,0.257548
2,pi+,-108.341,165.572,2621.9,154.038,-213.545,294.631,0.279496
2,pi+,193.628,83.1671,2621.9,38.8649,15.6367,379.823,0.267247
2,pi+,219.566,161.572,2621.9,204.707,140.255,285.15,0.263378
2,pi+,72.5043,63.879,2621.9,-39.0045,-44.7067,157.593,0.0791426
2,pi+,365.517,-38.5511,2621.9,89.3925,11.0224,179.155,0.104742
2,pi+,73.2112,-278.386,2621.9,35.5104,-147.91,279.353,0.207786
2,pi+,47.6348,-58.1042,2621.9,108.972,-59.9333,52.4147,0.0545791
2,pi+,-214.206,-513.57,2621.9,-26.2006,-56.8973,200.369,0.112523
2,pi+,112.143,-217.001,2621.9,5.81986,-11.183,136.429,0.0560096
2,pi+,-221.679,-298.718,2621.9,-126.026,-165.667,233.524,0.202981
2,pi+,275.75,198.736,2621.9,118.908,79.7545,286.913,0.210142
2,pi+,79.055,413.48,2621.9,48.7012,261
