Det,P_Type,x[mm],y[mm],z[mm],px[MeV/c],py[MeV/c],pz[MeV/c],E[GeV]
2,pi+,27.9193,-215.39,2621.9,-1.94989,-83.8153,93.768,0.0483156
2,pi+,160.645,-387.763,2621.9,54.7103,-135.3,309.189,0.229722
2,pi+,545.359,122.218,2621.9,188.963,41.3391,119.783,0.127345
2,pi+,391.156,-8.37752,2621.9,161.935,-8.97819,292.868,0.223135
2,pi+,-274.322,25.633,2621.9,-153.362,20.9501,315.867,0.238862
2,pi+,-36.5777,-12.6055,2621.9,-101.243,48.27,352.846,0.256107
2,pi+,-103.014,118.585,2622.9,-129.162,203.926,-181.638,0.193207
2,pi+,98.9876,241.054,2621.9,-50.6531,-42.5898,283.091,0.182919
2,pi+,-157.104,-31.6107,2621.9,-236.307,-49.8522,270.861,0.249238
2,pi+,311.169,8.94437,2621.9,159.134,-10.03,363.844,0.281484
2,pi+,2.69115,8.14114,2621.9,46.916,-85.6218,288.324,0.195307
2,pi+,-20.5561,155.686,2621.9,5.29511,294.023,131.908,0.211652
2,pi+,-308.252,-45.2572,2621.9,-44.8152,-8.24102,364.554,0.253439
2,pi+,32.7794,-86.5378,2621.9,-68.0552,-105.868,344.72,0.253051
2,pi+,-21.0092,-101.431,2621.9,21.8414,195.42,232.044,0.195079
2,pi+,-27.9952,-40.1579,2621.9,7.8434,-130.77,327.841,0.240063
2,pi+,-268.362,301.404,2621.9,-80.6267,92.8521,135.487,0.0905577
2,pi+,1.43571,20.044,2621.9,-120.042,-8.38995,349.53,0.255565
2,pi+,437.243,71.2712,2621.9,26.8413,7.31095,140.936,0.0607212
2,pi+,383.255,-14.3177,2621.9,51.9826,-0.56191,322.512,0.215671
2,pi+,-555.655,271.124,2621.9,-88.3111,43.6547,77.8812,0.0481792
2,pi+,-163.101,-135.247,2621.9,-24.4294,-21.788,324.831,0.215488
2,pi+,328.145,-245.926,2621.9,137.853,-37.6932,203.564,0.145636
2,pi+,135.85,-332.214,2621.9,-1.09094,-30.7116,198.593,0.1051
2,pi+,-137.843,-129.694,2621.9,-193.281,-142.757,278.138,0.253593
2,pi+,66.4748,13.5738,2621.9,-77.5296,20.6052,238.861,0.148474
2,pi+,192.321,60.2292,2621.9,116.235,-15.8918,44.3457,0.0480708
2,pi+,39.217,474.852,2621.9,26.8744,273.828,117.143,0.190439
2,pi+,9.26169,102.441,2621.9,4.87389,85.506,100.462,0.0525427
2,pi+,110.017,-43.3745,2621.9,-79.7781,22.4802,272.77,0.177846
2,pi+,53.9,-45.5051,2621.9,-127.323,-42.2737,193.931,0.13445
2,pi+,-60.4046,94.7397,2621.9,-8.52862,9.33461,306.239,0.197211
2,pi+,10.2844,9.57892,2621.9,-4.02348,40.0243,121.083,0.0495306
2,pi+,287.946,-227.044,2621.9,119.143,-131.01,180.794,0.149437
2,pi+,-193.3,-218.504,2621.9,-31.196,-33.647,346.191,0.236506
2,pi+,145.579,233.622,2621.9,99.1085,194.163,247.758,0.218739
2,pi+,-28.0398,-26.2879,2621.9,-67.5547,-214.167,268.156,0.237017
2,pi+,-30.6711,-181.548,2621.9,-2.19382,-12.4421,179.453,0.08812
2,pi+,-106.665,148.326,2621.9,148.273,-155.393,259.678,0.225182
2,pi+,17.3666,-75.9141,2621.9,-47.0127,91.1897,276.414,0.186635
2,pi+,-83.858,132.955,2621.9,-56.7324,78.3896,240.482,0.154835
2,pi+,268.745,-34.8884,2621.9,114.445,-21.1042,130.461,0.0841317
2,pi+,-182.044,-318.714,2621.9,-130.68,-228.629,288.164,0.274998
2,pi+,-180.207,17.1189,2621.9,-239.674,29.6703,275.55,0.252516
2,pi+,-228.743,-193.932,2621.9,-31.5049,-28.0556,321.386,0.213344
2,pi+,21.8377,-25.5429,2621.9,-74.0842,73.1674,299.883,0.207203
2,pi+,-67.5283,293.088,2621.9,-13.2836,129.993,288.784,0.206769
2,pi+,398.595,-415.12,2621.9,43.5375,-22.1676,273.382,0.171243
2,pi+,176.634,193.642,2621.9,25.3451,26.912,333.601,0.223935
2,pi+,295.526,-223.273,2621.9,88.7062,-60.0448,233.896,0.153109
2,pi+,-434.266,-27.7534,2621.9,-249.755,158.594,234.829,0.263113
2,pi+,211.789,-62.1033,2621.9,283.567,-65.7164,107.515,0.200677
2,pi+,250.683,109.507,2621.9,153.023,-9.75596,104.073,0.0924263
2,pi+,164.555,-102.933,2621.9,100.077,-16.6098,114.143,0.0673107
2,pi+,-607.697,-212.285,2621.9,-273.64,-78.6836,111.627,0.1966
2,pi+,-24.4669,-143.744,2621.9,-48.9842,-83.5296,250.206,0.162853
2,pi+,-25.1828,69.8741,2621.9,34.9029,-89.7455,287.237,0.19398
2,pi+,289.668,306.674,2621.9,123.206,139.836,309.825,0.247993
2,pi+,-404.994,223.725,2621.9,-201.067,121.233,246.951,0.228655
2,pi+,-232.708,-100.51,2621.9,-118.716,-89.1053,323.499,0.242745
2,pi+,-511.358,77.3245,2621.9,-312.922,41.2238,118.504,0.225317
2,pi+,-154.556,74.1519,2621.9,-17.8522,10.2664,274.34,0.16892
2,pi+,-201.171,261.741,2621.9,-107.76,149.814,328.198,0.26199
2,pi+,69.6227,-6.95519,2
