Det,P_Type,x[mm],y[mm],z[mm],px[MeV/c],py[MeV/c],pz[MeV/c],E[GeV]
2,pi+,-173.844,199.28,3927.35,-154.021,163.229,213.696,0.2003
2,pi+,0.192839,-43.5867,3927.35,-165.464,-78.6163,162.26,0.142151
2,pi+,239.531,8.91268,3927.35,68.8357,-23.46,304.858,0.203515
2,pi+,31.1144,87.7957,3927.35,38.0324,72.8709,87.1634,0.0443694
2,pi+,25.8085,172.983,3927.35,-17.9612,124.331,135,0.0916994
2,pi+,-233.521,191.436,3927.35,-98.868,45.8453,127.135,0.0784204
2,pi+,-164.684,-176.88,3927.35,-13.4259,-18.8263,355.584,0.243123
2,pi+,-159.562,45.4391,3927.35,-226.917,75.4869,258.046,0.238923
2,pi+,-163.13,-33.0836,3927.35,16.2656,9.85874,162.384,0.0753951
2,pi+,72.4378,207.825,3927.35,-23.3124,91.5016,322.211,0.224044
2,pi+,-251.283,-89.1923,3927.35,-22.846,-19.6475,129.401,0.0531273
2,pi+,-22.8859,-6.94194,3927.35,99.6555,126.043,178.439,0.138167
2,pi+,385.285,2.52883,3927.35,184.348,-8.16869,145.325,0.133651
2,pi+,117.831,232.555,3927.35,86.9592,116.416,213.558,0.154031
2,pi+,-17.9814,-73.4671,3927.35,84.0046,-49.2411,374.377,0.271671
2,pi+,211.445,110.061,3927.35,131.873,81.4004,153.675,0.11949
2,pi+,21.6104,-65.398,3927.35,-97.0468,213.729,201.172,0.199617
2,pi+,-301.896,30.7531,3927.35,-211.288,17.4472,270.479,0.231355
2,pi+,44.3875,-3.45302,3927.35,160.435,-126.079,186.818,0.170295
2,pi+,475.229,263.618,3928.35,71.0384,83.1868,-307.959,0.215796
2,pi+,-25.3419,130.465,3927.35,-44.3946,270.975,227.508,0.243363
2,pi+,-127.725,16.0171,3927.35,-252.946,6.61486,182.72,0.202324
2,pi+,-66.654,239.794,3927.35,-8.86173,107.092,123.829,0.0757445
2,pi+,33.9139,100.187,3927.35,110.764,172.74,112.807,0.133033
2,pi+,-254.466,-124.712,3927.35,-117.451,-43.3781,198.866,0.13375
2,pi+,-370.167,-244.284,3927.35,-273.99,-179.164,120.074,0.23602
2,pi+,139.728,242.657,3927.35,39.6005,79.1131,67.884,0.0390775
2,pi+,-209.37,-40.1391,3927.35,-83.4881,46.2382,136.617,0.0778049
2,pi+,-203.673,142.872,3927.35,-183.362,187.072,257.732,0.253524
2,pi+,-129.22,-43.5854,3927.35,93.741,-3.67388,112.966,0.0630176
2,pi+,90.5159,44.1139,3927.35,52.7524,16.3918,338.677,0.23088
2,pi+,74.234,3.38233,3927.35,132.594,33.1854,108.589,0.0839334
2,pi+,-137.436,-183.211,3927.35,-6.85229,-12.2702,254.683,0.151189
2,pi+,-110.704,-150.315,3927.35,-2.11382,42.4008,317.352,0.209707
2,pi+,56.8826,-16.4226,3927.35,-17.1984,-49.4178,255.693,0.156397
2,pi+,61.6572,78.4076,3927.35,47.3682,59.6255,293.593,0.194309
2,pi+,-592.69,-62.224,3928.35,-185.985,-61.6084,-39.0324,0.104128
2,pi+,65.1962,-41.8331,3927.35,-4.61378,56.7636,293.36,0.190253
2,pi+,46.0585,232.546,3927.35,49.1494,232.42,226.994,0.217418
2,pi+,-25.1793,-58.5883,3927.35,-131.592,-179.5,204.842,0.193562
2,pi+,171.875,-143.003,3927.35,16.6596,-13.6862,349.829,0.23769
2,pi+,-49.478,1.32841,3927.35,43.0696,52.0809,374.078,0.265376
2,pi+,-92.0929,213.289,3927.35,-19.1675,86.488,382.883,0.277475
2,pi+,93.7694,-276.952,3927.35,61.4795,-186.725,251.538,0.208851
2,pi+,-203.931,152.41,3927.35,-55.5116,23.4325,113.797,0.0503248
2,pi+,-43.5149,-37.1921,3927.35,-99.6555,-253.988,245.485,0.253092
2,pi+,-559.752,361.247,3927.35,66.8251,-109.875,149.492,0.10202
2,pi+,297.209,-92.5016,3927.35,222.915,-75.2294,201.204,0.200008
2,pi+,-97.7973,185.988,3927.35,-59.0565,137.166,89.439,0.0835469
2,pi+,-106.373,-245.005,3927.35,-81.9503,-214.358,239.96,0.220604
2,pi+,97.8494,287.146,3927.35,103.902,131.535,116.851,0.107879
2,pi+,125.559,161.25,3927.35,8.45591,15.1071,283.24,0.176665
2,pi+,516.444,-154.813,3927.35,49.9343,247.486,246.1,0.239623
2,pi+,156.652,265.782,3927.35,94.4839,141.628,140.96,0.12184
2,pi+,-508.827,-323.298,3927.35,-5.66663,3.94817,359.674,0.246297
2,pi+,-125.871,120.569,3927.35,-51.735,81.1715,382.606,0.278918
2,pi+,187.314,108.695,3927.35,223.222,102.839,110.823,0.164017
2,pi+,-171.763,-260.172,3927.35,-34.3236,-160.889,171.513,0.136037
2,pi+,-305.525,-63.4474,3927.35,-125.114,-16.9413,139.072,0.0944411
2,pi+,-47.8489,110.002,3928.35,-40.5681,75.4616,-98.4079,0.0514903
2,pi+,-59.7545,-168.718,3927.35,-65.144,-158.203,146.276,0.125284
2,pi+,96.3602,121.316,3927.35,49.7299,67.1797,386.822,0.280069
2,pi+,134.142,131.575,3927.35,62.498
