Det,P_Type,x[mm],y[mm],z[mm],px[MeV/c],py[MeV/c],pz[MeV/c],E[GeV]
2,pi+,218.765,65.3508,3927.35,79.8689,32.5838,357.517,0.253799
2,pi+,-9.76507,-12.0577,3927.35,-42.5373,-17.4048,237.261,0.139508
2,pi+,-293.248,176.43,3927.35,-106.927,91.4493,141.12,0.103721
2,pi+,401.553,385.07,3927.35,80.7031,76.0339,142.414,0.0885869
2,pi+,243.198,647.461,3927.35,-2.83929,16.256,258.4,0.154577
2,pi+,-105.532,-64.5006,3927.35,-29.8107,45.0267,331.971,0.224574
2,pi+,-70.6075,-187.438,3927.35,-118.329,-127.117,279.003,0.217477
2,pi+,219.183,79.8258,3927.35,27.6124,19.5347,152.409,0.0698393
2,pi+,64.542,-71.3901,3927.35,27.2439,-61.8413,133.703,0.0651803
2,pi+,132.914,-216.278,3927.35,-7.1358,-39.817,321.276,0.21304
2,pi+,-168.545,190.056,3927.35,-65.363,84.3858,54.9173,0.0445192
2,pi+,-129.888,-26.1479,3927.35,-12.9551,2.67247,327.664,0.216826
2,pi+,19.9496,-18.4202,3927.35,22.1093,74.5909,73.8308,0.0364502
2,pi+,549.978,335.734,3927.35,134.906,165.725,320.111,0.269839
2,pi+,-40.5413,-37.0374,3927.35,-58.3899,41.3063,348.263,0.242375
2,pi+,-23.6257,20.5756,3927.35,-64.7036,-64.0875,45.1551,0.0330896
2,pi+,52.9944,-0.244041,3927.35,247.479,83.1986,276.603,0.265593
2,pi+,108.072,120.502,3927.35,7.15446,-28.2401,213.699,0.117326
2,pi+,143.221,53.2428,3927.35,28.8469,-25.5223,193.928,0.102445
2,pi+,-62.8983,-40.6842,3927.35,-8.83625,-32.0644,133.683,0.0565348
2,pi+,141.407,62.3797,3927.35,251.706,-2.2267,191.453,0.20611
2,pi+,73.8316,-77.7786,3927.35,-36.575,18.6157,297.619,0.191702
2,pi+,142.359,-208.377,3927.35,37.4441,-76.1824,326.224,0.225269
2,pi+,324.643,52.8676,3927.35,131.884,6.42442,133.055,0.0941346
2,pi+,170.805,-22.5155,3927.35,-17.3268,-14.7593,176.913,0.0869164
2,pi+,170.599,-19.2771,3927.35,-17.7702,-12.4742,291.155,0.184038
2,pi+,327.382,390.301,3927.35,26.0304,-18.0609,158.326,0.0738561
2,pi+,-22.926,-30.4157,3927.35,32.0195,4.76503,188.185,0.0969485
2,pi+,161.637,-621.636,3927.35,120.188,157.396,207.01,0.179102
2,pi+,-75.0104,-234.525,3927.35,-84.9542,-28.6519,378.925,0.274075
2,pi+,-47.4624,-27.3207,3927.35,-36.0417,59.2272,357.139,0.250089
2,pi+,-314.418,85.1995,3927.35,-24.9133,8.01073,313.564,0.204649
2,pi+,-81.1014,-316.047,3927.35,-46.1348,-234.414,295.043,0.264915
2,pi+,202.708,50.9443,3927.35,157.48,58.8244,186.554,0.147732
2,pi+,-45.2803,215.36,3927.35,-42.2234,213.089,101.47,0.137855
2,pi+,-255.13,144.432,3927.35,-53.6379,127.341,136.391,0.0995429
2,pi+,-90.1589,382.562,3927.35,-64.9765,247.793,106.122,0.170857
2,pi+,-4.09287,-42.2073,3927.35,-1.03869,-76.414,136.537,0.0701014
2,pi+,-184.848,-38.6071,3927.35,-18.0275,-5.89738,340.986,0.229362
2,pi+,-583.572,-141.057,3927.35,-162.859,-7.91241,230.152,0.175129
2,pi+,205.339,40.1705,3927.35,-13.5242,-45.4823,194.789,0.104713
2,pi+,-119.429,201.041,3927.35,-4.75666,14.5606,293.181,0.185499
2,pi+,314.955,-242.452,3927.35,139.221,-187.576,128.666,0.161431
2,pi+,113.595,65.585,3927.35,6.73892,50.2421,327.965,0.220439
2,pi+,-1.1693,-140.326,3927.35,-6.71983,-149.817,207.034,0.151691
2,pi+,146.806,80.3373,3927.35,-30.3986,-49.9797,103.411,0.0437211
2,pi+,219.467,144.116,3927.35,-38.7204,-207.233,132.902,0.146064
2,pi+,230.331,48.7294,3927.35,54.3693,37.3266,125.952,0.0596576
2,pi+,51.2268,-19.6149,3927.35,-251.743,-124.899,274.579,0.27738
2,pi+,60.0728,-52.1239,3927.35,122.631,-145.21,224.856,0.186259
2,pi+,-28.6747,-29.9909,3927.35,-93.2087,-88.8561,162.486,0.110359
2,pi+,68.2497,196.694,3927.35,8.73963,-43.585,343.039,0.233433
2,pi+,181.607,-246.825,3927.35,68.9225,-96.7997,131.691,0.0861344
2,pi+,1.11339,19.1462,3927.35,-43.8896,-15.0093,287.699,0.183543
2,pi+,96.2138,-297.99,3927.35,66.4512,-228.435,282.436,0.255206
2,pi+,-16.5296,-27.4323,3927.35,141.958,26.4098,139.417,0.104901
2,pi+,140.374,-168.558,3927.35,118.239,-164.461,103.499,0.1273
2,pi+,-272.54,66.9502,3927.35,-120.586,-10.2881,138.932,0.0915761
2,pi+,-103.853,-112.728,3927.35,-245.37,-53.4206,174.36,0.196496
2,pi+,-153.738,-344.563,3927.35,-102.554,-83.5614,75.0937,0.0668721
2,pi+,-154.981,-6.99765,3927.35,-129.462,19.1119,206.128,0.141667
2,pi+,256.508,196.317,3927.35,209.791,139.179,294.175,0.272013
2,pi+
