Det,P_Type,x[mm],y[mm],z[mm],px[MeV/c],py[MeV/c],pz[MeV/c],E[GeV]
2,pi+,-244.78,328.432,3927.35,-134.369,186.166,184.644,0.186445
2,pi+,39.3551,-47.8853,3927.35,58.1798,18.378,318.474,0.213457
2,pi+,188.196,-66.9307,3927.35,18.5795,-39.1179,196.537,0.105342
2,pi+,-72.368,2.74664,3927.35,-27.0623,-39.1096,255.189,0.155156
2,pi+,558.721,351.37,3927.35,-0.0643907,0.018025,182.183,0.0899299
2,pi+,268.115,134.357,3927.35,-91.2416,-19.0083,182.978,0.108718
2,pi+,-27.283,216.647,3927.35,-5.16075,19.8204,343.54,0.231805
2,pi+,-80.6424,-312.725,3927.35,18.9576,-153.422,71.4242,0.0806092
2,pi+,47.7377,-61.5679,3927.35,49.9905,-35.7729,309.515,0.205478
2,pi+,-163.886,-17.8058,3927.35,-98.1412,3.85748,337.506,0.238632
2,pi+,122.974,154.339,3927.35,-17.0843,-36.8955,358.824,0.247583
2,pi+,35.9611,-323.851,3927.35,36.8064,-230.644,286.065,0.255226
2,pi+,23.2238,0.639438,3927.35,14.4755,18.3607,175.75,0.0860721
2,pi+,-9.68364,38.7871,3927.35,2.70329,-65.8494,361.07,0.253106
2,pi+,146.502,-184.86,3927.35,22.7744,-45.9313,191.733,0.10306
2,pi+,208.787,219.405,3927.35,103.091,140.741,161.515,0.136116
2,pi+,56.1873,84.1545,3927.35,53.5492,67.517,365.535,0.261081
2,pi+,432.498,160.281,3927.35,217.893,79.2443,312.08,0.273504
2,pi+,-68.0142,25.6665,3927.35,-168.274,90.0565,172.25,0.152964
2,pi+,34.6628,272.102,3927.35,26.5271,235.57,265.911,0.243033
2,pi+,-5.33224,94.904,3927.35,-57.2264,30.3441,246.127,0.150695
2,pi+,-147.494,-108.292,3927.35,-231.227,-177.216,252.246,0.270282
2,pi+,-325.982,-324.703,3927.35,-251.372,-242.957,115.936,0.254304
2,pi+,266.008,-53.5808,3927.35,81.0794,-21.0922,130.973,0.0693615
2,pi+,-196.194,-212.899,3927.35,-183.238,-96.3613,240.5,0.207102
2,pi+,156.27,58.3356,3927.35,41.8845,110.682,375.244,0.277913
2,pi+,-35.5962,-5.22818,3927.35,-28.096,-8.87342,147.904,0.0659137
2,pi+,246.794,116.447,3927.35,177.092,103.949,193.53,0.175233
2,pi+,-179.136,148.699,3927.35,-141.905,122.655,234.73,0.19173
2,pi+,1.33554,-10.5593,3927.35,-239.885,113.693,254.577,0.253826
2,pi+,-11.7821,95.8098,3927.35,31.6661,-163.734,192.9,0.151122
2,pi+,-76.5058,20.9713,3927.35,204.245,-47.0064,222.557,0.196491
2,pi+,107.5,-216.234,3927.35,40.7748,-131.653,190.135,0.133606
2,pi+,-290.432,606.787,3927.35,-28.2286,26.9829,222.246,0.125756
2,pi+,152.524,180.763,3927.35,32.525,42.6619,226.52,0.13185
2,pi+,34.2867,5.59229,3927.35,260.558,-35.5114,253.419,0.251393
2,pi+,-227.095,-95.529,3927.35,-214.217,-102.314,276.34,0.250559
2,pi+,3.70218,-206.825,3927.35,35.0994,-1.24001,213.298,0.117741
2,pi+,-6.46213,-291.24,3927.35,-7.96669,-271.784,112.224,0.186012
2,pi+,77.3896,139.414,3927.35,108.174,217.006,182.143,0.194268
2,pi+,52.7052,-282.333,3927.35,30.7388,-171.966,139.707,0.124087
2,pi+,38.9716,-35.2564,3927.35,50.3013,230.496,189.32,0.193567
2,pi+,161.677,-71.2856,3927.35,179.91,-152.594,245.214,0.22821
2,pi+,218.633,-83.2849,3927.35,231.355,-91.6931,278.709,0.259292
2,pi+,-24.7644,-256.314,3927.35,-13.5543,-235.531,114.529,0.157508
2,pi+,-197.141,69.096,3927.35,-107.532,29.459,143.427,0.0895193
2,pi+,-64.9968,97.5017,3927.35,36.8449,19.4347,275.955,0.172466
2,pi+,484.058,469.367,3927.35,34.2309,40.4525,116.95,0.0500747
2,pi+,-56.8355,8.3352,3927.35,-225.38,72.9398,239.252,0.224898
2,pi+,152.401,83.2234,3927.35,9.64924,2.96576,222.789,0.123521
2,pi+,-48.3104,180.647,3927.35,-15.9387,46.7818,205.964,0.11409
2,pi+,77.7051,108.273,3927.35,-14.6841,350.483,165.182,0.272521
2,pi+,-49.3824,203.188,3927.35,-49.1642,221.108,182.63,0.183136
2,pi+,166.866,-97.4632,3927.35,3.69671,-23.592,250.899,0.148527
2,pi+,-212.553,4.92718,3927.35,-120.346,-44.1121,343.764,0.252964
2,pi+,-521.545,-120.137,3927.35,63.5594,-1.07136,123.612,0.0574085
2,pi+,9.60962,62.9209,3927.35,75.221,256.332,263.493,0.26077
2,pi+,-4.94207,75.5948,3927.35,-48.5909,-24.6954,360.899,0.251197
2,pi+,15.7077,91.6965,3927.35,-69.4428,-70.3907,124.843,0.0721909
2,pi+,96.1477,161.021,3927.35,-45.4349,-19.6992,390.804,0.278353
2,pi+,-16.8271,116.117,3927.35,7.30036,-53.9414,337.257,0.229462
2,pi+,87.3987,217.159,3927.35,30.6162,59.2843,304.968,0.202391
2,pi+,62.169,17.9367,3927.35,44.4376,-43.260
