Det,P_Type,x[mm],y[mm],z[mm],px[MeV/c],py[MeV/c],pz[MeV/c],E[GeV]
2,pi+,-435.384,62.0286,3927.35,-229.304,40.3986,70.2155,0.140826
2,pi+,38.189,-267.109,3927.35,-19.9333,-75.0854,150.486,0.0798859
2,pi+,93.4212,-162.611,3927.35,142.636,-209.781,100.778,0.167006
2,pi+,-48.3954,-92.251,3927.35,41.6934,-50.7421,379.245,0.269844
2,pi+,14.9957,258.377,3927.35,25.6595,147.364,176.799,0.130822
2,pi+,-110.928,82.4472,3927.35,-38.2558,52.616,302.628,0.199982
2,pi+,7.68491,136.746,3927.35,-29.8407,-14.3845,198.764,0.105551
2,pi+,-36.1406,-157.291,3927.35,-133.784,-64.4143,141.811,0.108699
2,pi+,-69.0643,-153.914,3927.35,-38.2324,6.56464,239.047,0.139943
2,pi+,-11.6852,-153.084,3927.35,21.6155,-202.49,181.309,0.166734
2,pi+,188.677,200.826,3927.35,7.57782,54.9045,89.8339,0.0354205
2,pi+,-172.704,207.39,3927.35,34.5988,-46.1241,188.144,0.101682
2,pi+,-170.009,123.66,3927.35,40.5837,1.13118,325.413,0.216831
2,pi+,2.75912,116.002,3927.35,-14.6649,-83.7943,125.704,0.0666284
2,pi+,223.834,137.416,3927.35,198.55,130.843,220.364,0.213392
2,pi+,-101.62,81.4534,3927.35,82.0406,-34.3701,103.485,0.055624
2,pi+,-197.451,362.199,3927.35,-200.408,185.573,155.935,0.204518
2,pi+,-259.98,142.882,3927.35,-162.405,56.5475,178.29,0.144754
2,pi+,-102.995,328.807,3927.35,-5.41362,33.3366,315.852,0.207392
2,pi+,-78.6318,393.66,3927.35,-17.3354,109.565,47.8947,0.0450334
2,pi+,291.425,-305.318,3927.35,111.584,-103.318,357.454,0.273199
2,pi+,223.302,-73.3194,3927.35,79.3408,-31.3249,345.427,0.242628
2,pi+,-34.3531,-184.873,3927.35,-35.7853,-0.856822,146.842,0.066157
2,pi+,-117.456,151.064,3927.35,-2.08609,8.9828,100.025,0.032388
2,pi+,76.9229,119.163,3927.35,5.6579,11.085,380.781,0.266174
2,pi+,-107.598,-292.199,3927.35,-111.095,-129.391,153.36,0.128913
2,pi+,-77.6204,-92.5409,3927.35,5.65527,-7.69199,111.813,0.0395193
