Det,P_Type,x[mm],y[mm],z[mm],px[MeV/c],py[MeV/c],pz[MeV/c],E[GeV]
2,pi+,-102.166,-6.42386,3927.35,117.387,-76.6102,145.105,0.105754
2,pi+,146.403,244.344,3927.35,108.533,185.855,98.6988,0.13528
2,pi+,-34.1873,-81.6198,3927.35,-27.2381,12.8262,169.223,0.0818406
2,pi+,-135.666,-225.193,3927.35,-21.242,-33.861,158.774,0.0755733
2,pi+,578.367,175.944,3927.35,-2.75149,-1.08286,192.273,0.0980371
2,pi+,-55.4229,54.7976,3927.35,-1.43144,27.8104,168.667,0.0811192
2,pi+,-7.98808,124.894,3927.35,-4.83727,-185.18,182.598,0.15562
2,pi+,-10.8291,-208.181,3927.35,-4.18442,-53.818,258.842,0.159416
2,pi+,593.865,236.549,3927.35,-33.0791,-5.633,251.271,0.149813
2,pi+,-26.6485,25.5806,3927.35,-146.789,-160.927,181.771,0.176602
2,pi+,109.122,-128.208,3927.35,116.933,-137.348,232,0.185763
2,pi+,65.0397,-17.6954,3927.35,5.90083,-4.34899,280.91,0.174188
2,pi+,-36.8898,103.201,3927.35,-28.2107,93.0592,209.641,0.130402
2,pi+,5.56099,32.1522,3927.35,-87.5846,185.308,59.0887,0.115344
2,pi+,-92.4331,49.9316,3927.35,-9.97203,5.37083,284.718,0.177718
2,pi+,-160.421,-44.7421,3927.35,-14.4001,-1.56904,311.497,0.202073
2,pi+,20.2345,-117.795,3927.35,70.0105,-237.132,298.607,0.272472
2,pi+,-179.556,-132.707,3927.35,31.3256,26.2408,242.554,0.14324
2,pi+,-444.574,440.824,3927.35,-3.74426,16.6252,287.329,0.180317
2,pi+,-513.311,418.904,3927.35,-19.8978,-6.65467,277.841,0.172064
2,pi+,137.675,9.33392,3927.35,73.1128,33.9688,290.047,0.192252
2,pi+,-64.5418,-301.771,3927.35,-10.6312,-123.66,95.0752,0.0700095
2,pi+,259.997,53.6309,3927.35,192.586,23.9836,265.379,0.2176
