Det,P_Type,x[mm],y[mm],z[mm],px[MeV/c],py[MeV/c],pz[MeV/c],E[GeV]
2,pi+,-31.3666,69.1777,3927.35,4.46105,-20.2159,165.109,0.0776148
2,pi+,-173.961,130.937,3927.35,2.65515,-4.87116,153.682,0.0681041
2,pi+,8.34637,-60.1654,3927.35,1.33073,161.517,157.968,0.125991
2,pi+,137.822,77.7579,3927.35,20.9679,-14.9722,166.905,0.0795206
2,pi+,-110.961,50.7671,3927.35,-211.009,87.3975,267.829,0.239079
2,pi+,-124.653,-146.571,3927.35,-32.371,-33.8091,216.803,0.122488
2,pi+,-62.6358,-50.1084,3927.35,64.5983,15.9571,391.607,0.281456
2,pi+,-37.5384,60.6117,3927.35,-136.728,85.4402,128.32,0.109308
2,pi+,-193.985,-58.1269,3927.35,-29.3958,-26.8923,194.976,0.103499
2,pi+,39.7655,-583.078,3927.35,2.31988,2.86071,217.681,0.119038
2,pi+,18.3176,-32.8715,3927.35,210.74,-52.9093,186.788,0.179146
2,pi+,149.202,-102.421,3927.35,15.5027,-6.15342,344.679,0.232668
2,pi+,-187.677,91.0621,3927.35,-82.0621,20.2889,339.706,0.237293
2,pi+,-18.581,34.2105,3927.35,43.7733,10.0073,213.351,0.119302
2,pi+,148.111,-0.373049,3927.35,292.342,17.808,228.011,0.256977
2,pi+,370.322,-109.982,3927.35,90.9849,-24.9972,318.448,0.220696
2,pi+,-435.404,-120.473,3927.35,-227.654,-60.7129,93.468,0.149787
2,pi+,-274.363,112.179,3927.35,-162.651,68.1899,175.615,0.145781
2,pi+,-568.872,-208.219,3927.35,-2.26382,-14.6823,152.884,0.0679699
2,pi+,161.201,30.5287,3927.35,27.4704,-20.3168,159.841,0.0753635
2,pi+,55.2176,116.756,3927.35,87.4538,194.152,205.451,0.187589
2,pi+,-90.6881,83.5867,3927.35,-167.162,135.084,103.861,0.136939
2,pi+,-99.5889,101.428,3927.35,82.6903,-65.1999,140.686,0.0848425
2,pi+,243.929,-294.068,3927.35,177.772,-202.114,245.225,0.250388
2,pi+,166.574,-36.2056,3927.35,79.8744,4.16105,373.869,0.267437
2,pi+,205.339,40.1705,3927.35,-13.5242,-45.4823,194.789,0.104713
2,pi+,-180.436,149.828,3927.35,-142.139,122.857,234.492,0.191736
2,pi+,-9.13402,-131.561,3927.35,20.8759,-199.171,160.512,0.152571
2,pi+,-127.364,-91.6446,3927.35,-5.40475,-4.11039,125.926,0.0485343
2,pi+,642.038,259.825,3927.35,200.593,29.3638,256.247,0.215736
2,pi+,130.569,80.5733,3927.35,158.239,130.557,257.432,0.217971
2,pi+,72.2168,338.888,3927.35,41.0266,198.544,205.185,0.180873
2,pi+,398.272,309.497,3927.35,223.443,188.673,93.8587,0.197792
2,pi+,-30.3721,-192.117,3927.35,-13.5204,38.2712,295.248,0.189517
2,pi+,195.764,-107.083,3927.35,136.898,-66.0198,229.748,0.16924
2,pi+,37.7251,79.0839,3927.35,-40.4957,22.9257,316.872,0.209791
2,pi+,89.8231,82.9571,3927.35,27.4191,69.8333,364.984,0.258326
2,pi+,233.323,193.245,3927.35,89.4322,75.3531,65.0474,0.0537873
2,pi+,-49.8977,-219.501,3927.35,-5.057,-15.6782,291.821,0.184329
2,pi+,82.8998,-125.276,3927.35,119.177,-171.645,245.169,0.211504
2,pi+,316.254,-28.497,3927.35,293.912,-21.0011,252.245,0.272489
2,pi+,81.1782,-125.264,3927.35,74.1704,-219.539,232.84,0.217351
2,pi+,-51.3823,-45.3259,3927.35,18.0204,-29.9938,247.567,0.146775
2,pi+,-149.415,126.039,3927.35,-8.03913,8.30795,218.985,0.120368
2,pi+,-251.637,-14.4117,3927.35,-197.789,-3.59418,251.177,0.209289
2,pi+,12.9636,-9.3053,3927.35,-77.2517,-204.881,226.982,0.205314
2,pi+,366.307,122.242,3927.35,38.0338,16.8295,349.754,0.239293
2,pi+,-475.297,-317.101,3928.35,-202.02,-306.613,-147.297,0.279953
2,pi+,-33.1964,20.8756,3927.35,-106.96,121.238,82.8966,0.0895382
2,pi+,-154.717,41.8081,3927.35,-3.47904,1.84272,131.651,0.0523342
2,pi+,70.8606,-113.094,3927.35,-55.5185,83.9619,127.913,0.0748433
2,pi+,60.9745,280.747,3927.35,46.0713,244.116,211.646,0.215379
2,pi+,96.0271,-222.607,3927.35,5.3937,-78.5719,349.365,0.244797
2,pi+,247.961,-35.2493,3927.35,58.9742,-16.1125,282.034,0.180993
2,pi+,20.8615,228.441,3927.35,4.56414,21.6908,349.242,0.237181
2,pi+,-658.316,163.407,3927.35,-25.5927,-14.1384,287.85,0.181666
2,pi+,-138.448,176.915,3927.35,-116,94.1759,167.308,0.124621
2,pi+,-10.1951,5.86142,3927.35,-77.8254,212.206,154.594,0.167785
2,pi+,45.2541,-228.975,3927.35,3.41034,3.11999,294.831,0.18666
2,pi+,-327.065,-183.867,3927.35,-154.473,-87.0277,87.1612,0.102323
2,pi+,-308.359,59.7272,3927.35,-141.005,24.3077,83.4129,0.0770184
2,pi+,-215.021,-14.507,3927.35,-20.1364,-0.354026,362.558,0.249446
2,pi+,-75.1639,233.719,3927.35,10.1786,-2.59481,233.503,0.132668
2,pi+,-64.7968,17.6489,3927.35,211.842,-5.92743,231.097,0.203646
2,pi+,63.8417,116.342,3927.35,78.5783,261.075,210.508,0.232086
2,pi+,-145.211,205.398,3927.35,-75.6824,101.732,129.739,0.0893163
2,pi+,-84.1335,257.944,3927.35,-19.6736,70.7307,301.288,0.200494
2,pi+,-497.553,318.974,3927.35,-50.5549,-13.8572,116.485,0.0496291
2,pi+,65.9057,-192.189,3927.35,-34.0393,25.9111,350.226,0.239861
2,pi+,-40.1044,-38.8517,3927.35,171.84,-101.174,147.529,0.145052
2,pi+,-127.564,277.98,3927.35,-120.246,278.674,254.322,0.280284
2,pi+,-581.331,148.308,3927.35,-3.01198,0.712763,326.009,0.215072
2,pi+,103.654,-50.3646,3927.35,8.71282,-7.31839,352.814,0.240017
2,pi+,-232.901,-92.7251,3927.35,-18.7934,1.10737,104.778,0.035965
2,pi+,110.5,203.041,3927.35,76.4754,165.879,261.649,0.208718
2,pi+,-9.10856,53.08,3927.35,-14.0705,72.234,393.15,0.28406
2,pi+,-0.895543,143.686,3927.35,-47.8543,235.446,251.784,0.235396
2,pi+,115.983,173.201,3927.35,155.938,203.431,239.302,0.23785
2,pi+,-627.097,-55.0885,3927.35,-60.4391,20.1294,278.86,0.178708
2,pi+,-29.2115,-10.0111,3927.35,-3.6646,0.4613,314.399,0.204436
2,pi+,-424.306,390.693,3927.35,-73.3921,67.2389,120.573,0.0700133
2,pi+,63.949,-91.552,3927.35,29.5803,-78.7207,371.721,0.266296
2,pi+,240.368,64.0991,3927.35,55.6102,54.9508,289.361,0.191068
